渝   j
》   x
)   x
经   n
单位   n
审核   v
(   x
注明   v
从事   v
工程造价   n
业务   n
工作   vn
的   uj
经历   n
)   x
同意   d
盖章   nr
后   f
携带   v
学历证书   n
原件   n
本人   r
身份证   n
和   c
1   m
寸   m
黑白   z
近照   n
(   x
1   m
张   nr
)   x
到   v
报名点   n
报名   v
各   r
报名点   n
务必   d
检查   vn
《   x
报名   v
卡   n
》   x
填涂   v
内容   n
正确   ad
照片   n
无   v
遗漏   n
并   c
保证质量   n
续   v
考生   v
必须   d
在   p
《   x
报名   v
卡   n
》   x
上   f
填写   v
好   a
上   f
年度   n
考试成绩   n
滚动   v
档案   n
号   m
2   x
．   x
考生   v
或   c
被   p
委托人   n
填涂   v
《   x
报名   v
卡   n
》   x
各   r
栏目   n
信息   n
须   d
完整   a
准确   a
不能   v
漏填   v
错填   v
否则   c
责任   n
自负   v
㈡   x
现场   n
摄像   v
报名   v
程序   n
1   x
．   x
考生   v
须   d
携带   v
本条   r
㈠   x
款   n
中   f
规定   n
的   uj
证件   n
和   c
所在单位   n
出具   v
从事   v
专业   n
工作   vn
年限   n
的   uj
证明   n
(   x
考生   v
可   v
在   p
重庆   ns
人事   n
人才网   n
点击   v
人事   n
考试   vn
下载   v
考试   vn
报名条件   n
证明   n
)   x
到   v
报名点   n
进行   v
现场   n
摄像   v
报名   v
2   x
．   x
考生   v
委托人   n
代   q
报名   v
被   p
委托人   n
须   d
携带   v
考生   v
本人   r
1   m
寸   m
免冠   n
近照   n
(   x
1   m
张   nr
)   x
和   c
本款   n
1   m
条   q
中   f
规定   n
的   uj
证件   n
以及   c
由   p
所在单位   n
出具   v
从事   v
专业   n
工作   vn
年限   n
的   uj
证明   n
到   v
报名点   n
报名   v
㈢   x
跨省   n
转考   v
到   v
我市   r
报名   v
的   uj
考生   v
必须   d
带上   v
当地   s
考试   vn
管理机构   n
的   uj
异地   n
转考   v
申请表   n
到   v
重庆市   ns
人事   n
考试   vn
中心   n
报名   v
否则   c
以往   t
年度   n
考试成绩   n
视为   v
无效   a
㈣   x
各   r
报名点   n
以   p
考生   v
身份证   n
与   p
考生   v
本人   r
(   x
像片   n
)   x
进行   v
核对   v
必须   d
一致   d
对   p
考生   v
提供   v
的   uj
有效证件   n
原件   n
(   x
身份证   n
毕业证   n
原件   n
)   x
和   c
单位   n
证明   n
(   x
免试   vn
两   m
科   n
的   uj
考生   v
须   d
提供   v
符合   v
免试   vn
条件   n
的   uj
职称   n
证   n
)   x
进行   v
资格   n
审查   vn
对   p
考生   v
填涂   v
的   uj
《   x
报名   v
卡   n
》   x
和   c
现场   n
摄像   v
报名   v
校对   v
单上   n
的   uj
姓名   n
学历   n
所学   n
专业   n
报考   v
专业   n
级别   n
科目   n
档案   n
号   m
身份证   n
号码   n
核查   vn
准确无误   n
后   f
请   v
报考   v
人员   n
在   p
《   x
报名   v
卡   n
》   x
或   c
现场   n
摄像   v
报名   v
校对   v
单上   n
签名   v
确认   v
五   m
报名   v
地点   n
㈠   x
重庆市   ns
人事   n
培训中心   n
(   x
地址   n
渝北区   ns
新   a
牌坊   n
一路   m
1   m
号   m
联系电话   l
8907718889078888   m
-   x
8520   m
)   x
㈡   x
重庆市   ns
人才交流   i
服务中心   n
(   x
地址   n
江北   ns
区区   n
府   nr
路   n
1   m
号   m
附   f
1   m
号   m
农垦   n
大厦   n
四楼   ns
联系电话   l
67765252   m
)   x
㈢   x
重庆   ns
人才   n
大   a
市场   n
沙坪坝   nr
市场   n
(   x
地址   n
沙坪坝区   ns
三峡   ns
广场   n
赛博   nz
五楼   nz
联系电话   l
65410804   m
)   x
㈣   x
重庆   ns
人才   n
大   a
市场   n
大坪   ns
分   v
市场   n
(   x
地址   n
渝中区   nt
大坪   ns
长江   ns
二路   m
77   m
号   m
万   m
友   n
公司   n
704   m
室   n
联系电话   l
68770085   m
)   x
㈤   x
重庆市   ns
继续   v
教育   vn
协会   n
(   x
地址   n
渝中区   nt
中山   ns
三路   m
155   m
号   m
机械   n
大厦   n
8   x
-   x
3   m
号   m
联系电话   l
63619615   m
)   x
㈥   x
重庆市   ns
少年儿童   l
图书馆   n
辅导   vn
部   n
(   x
地址   n
渝中区   nt
中兴路   ns
73   m
号   m
联系电话   l
63842665   m
)   x
㈦   x
南岸区   ns
人事局   n
职改办   j
(   x
地址   n
南坪   ns
福天   nr
大厦   n
A座   n
5   m
楼   n
联系电话   l
62986606   m
)   x
㈧   x
万州区   ns
人事局   n
职改办   j
联系电话   l
58233611   m
㈨   x
涪陵区   ns
人事局   n
考试   vn
科   n
联系电话   l
72227363   m
㈩   x
黔江区   ns
人事局   n
职改办   j
联系电话   l
79222942   m
六   m
考试   vn
收费   n
标准   n
造价   v
工程师   n
执业资格   n
考试   vn
考务费   n
收费   n
标准   n
为   p
每人   r
每科   r
47   m
元   m
(   x
含   v
上缴   v
国家人事部   nt
考试   vn
中心   n
7   m
元   m
)   x
报名费   n
每人   r
10   m
元   m
收取   v
新   a
考生   v
滚动   v
考试成绩   n
档案   n
管理费   vn
20   m
元   m
七   m
考场   n
设置   vn
造价   v
工程师   n
执业资格   n
考试   vn
考场   n
由   p
重庆市   ns
人事   n
考试   vn
中心   n
在   p
主城区   n
统一   vn
设置   vn
考生   v
按   p
准考证   n
上   f
指定   v
的   uj
时间   n
和   c
地点   n
参考   v
八   m
教材   n
征订   v
考试   vn
使用   v
2006   m
年   m
新版   b
《   x
全国   n
造价   v
工程师   n
执业资格   n
考试   vn
大纲   n
》   x
和   c
考试   vn
培训教材   n
考试   vn
大纲   n
及   c
培训教材   n
由   p
全国   n
造价   v
工程师   n
考试   vn
培训教材   n
编审   v
委员会   n
组织   v
编写   v
考生   v
可到   v
各   r
建筑   n
书店   n
购买   v
九   m
其他   r
要求   v
㈠   x
获得   v
执业资格   n
的   uj
条件   n
报考   v
全部   n
科目   n
的   uj
人员   n
必须   d
在   p
连续   a
两个   m
考试   vn
年度   n
内   n
通过   p
全部   n
科目   n
的   uj
考试   vn
（   x
成绩   n
可以   c
滚动   v
）   x
；   x
免试   vn
部分   n
科目   n
的   uj
报考   v
人员   n
必须   d
在   p
一个   m
考试   vn
年度   n
内   n
通过   p
应试   vn
科目   n
㈡   x
造价   v
工程师   n
考试   vn
仍为   d
四个   m
科目   n
其中   r
建设工程   n
技术   n
与   p
计量   n
科目   n
分为   v
土建   ns
与   p
安装   v
两个   m
专业   n
考生   v
可   v
根据   p
工作   vn
实际   n
选报   v
其一   r
㈢   x
工程造价   n
案例   n
分析   vn
科目   n
为   p
主观题   n
在   p
答题   n
纸   n
上   f
作答   v
；   x
其它   r
科目   n
的   uj
试题   n
均   d
为   p
客观   n
题   n
全部   n
在   p
答题卡   n
上   f
作答   v
㈣   x
考试   vn
时   n
考生   v
应   v
携带   v
钢笔   n
或   c
圆珠笔   n
(   x
黑色   n
或   c
蓝色   n
)   x
2   m
B   eng
铅笔   n
橡皮   n
和   c
计算器   n
(   x
无声   d
无   v
编程   n
功能   n
)   x
㈤   x
各   r
报名点   n
务必   d
于   p
2006   m
年   m
6   m
月   m
8   m
日前   t
将   d
《   x
报名   v
卡   n
》   x
或   c
现场   n
摄像   v
报名   v
的   uj
信息   n
数据   n
以及   c
《   x
2006   m
年度   n
造价   v
工程师   n
执业资格   n
考试   vn
报名   v
人数   n
统计表   n
》   x
(   x
附件   n
)   x
报送   v
市   n
人事   n
考试   vn
中心   n
同时   c
一并   d
交清   v
报名   v
考务费   n
㈥   x
本市   n
其它   r
未   d
设   v
报名点   n
的   uj
区县   n
（   x
自治县   ns
市   n
）   x
人事局   n
职称   n
资格考试   n
管理   vn
部门   n
收到   v
文件   n
后   f
应   v
及时   c
转发   v
文件   n
积极   ad
做好   v
考生   v
到   v
报名点   n
的   uj
参考   v
报名   v
工作   vn
㈦   x
考生   v
到   v
各   r
报名点   n
领取   v
准考证   n
的   uj
时间   n
为   p
2006   m
年   m
9   m
月   m
22   m
日后   t
㈧   x
考生   v
在   p
考试成绩   n
公布   v
后在   t
重庆   ns
人事   n
人才网   n
(   x
www   eng
.   m
cqpa   eng
.   m
gov   eng
.   m
cn   eng
)   x
上   f
查看   v
《   x
国家   n
职称   n
(   x
职业   n
)   x
资格   n
考试合格   n
人员   n
办证   n
时间表   n
》   x
中   f
的   uj
办证   n
时间   n
按   p
《   x
办理   n
职称   n
(   x
职业   n
)   x
资格证书   n
须知   nr
》   x
的   uj
要求   v
办理   n
资格证书   n
重庆市   ns
人事   n
考试   vn
中心   n
二   m
○   x
○   x
六年   m
四月   m
二十日   m
