不高不低   i
一个月   m
下来   t
他   r
才   d
明白   nr
房子   n
这个   r
世界   n
变化   vn
得   ud
这么   r
快   a
房价   n
已   d
是   v
今非昔比   i
5   m
月   m
1   m
日   m
刘先生   nr
在   p
东山区   ns
一   m
中介   j
处   n
找到   v
了   ul
一套   m
面积   n
75   m
平方米   q
得   ud
二手房   n
虽然   c
位置   v
在   p
东风   n
东   ns
路边   s
噪声   n
较大   a
又   d
是   v
最   d
顶层   n
单位   n
但   c
标价   n
只有   c
32   m
万元   m
还有   v
装修   v
和   c
家具   n
本来   t
与   p
中介   j
约   d
好   a
一个   m
星期   t
后   f
交买   v
楼款   n
正式   ad
办理   n
过户   n
手续   v
谁知   v
当天   t
晚上   t
他   r
接到   v
中介   j
公司   n
电话   n
说   v
房主   n
觉得   v
房价   n
太   d
低要   a
提价   v
8   m
万   m
才   d
肯卖   v
8   m
万   m
可不是   c
小数目   n
刘先生   nr
选择   v
放弃   v
从   p
去年   t
年底   t
到   v
今年   t
五一   m
黄金周   nr
何先生   nr
一直   d
在   p
关注   v
广州   ns
房地产   j
的   uj
二手市场   n
他   r
告诉   v
记者   n
价格   n
是   v
自己   r
放弃   v
一手   m
房   n
选择   v
二手房   n
最   d
关键   n
最   d
直接   ad
的   uj
原因   n
何先生   nr
2003   m
年   m
来到   v
广州   ns
从事   v
了   ul
一份   m
让   v
周围   f
朋友   n
羡慕   v
的   uj
职业   n
当时   t
也   d
想   v
过   ug
买房   n
但   c
由于   c
女朋友   n
还   d
在   p
读书   n
未来   t
在   p
哪个   r
城市   ns
发展   vn
尚   d
不   d
确定   v
所以   c
就   d
没   v
实际行动   n
而   c
2003   m
年   m
的   uj
房价   n
是   v
他   r
与   p
购房   n
梦想   n
距离   n
比较   d
近   a
的   uj
时候   n
他   r
没想到   l
的   uj
是   v
三年   m
后   f
的   uj
今天   t
他   r
的   uj
购房   n
梦   n
已渐   d
行   v
渐远   d
房价   n
的   uj
高涨   v
远远   d
超出   v
了   ul
他   r
的   uj
预期   vn
三年   m
前   f
他   r
看过   v
华   ns
景新城   nr
当时   t
的   uj
均价   n
才   d
4000   m
多元   m
每平方米   l
而   c
今年   t
已   d
涨到   v
7000   m
多元   m
每平方米   l
这   r
比   p
他   r
的   uj
收入   v
涨   v
得   ud
快   a
多   m
了   ul
其实   d
在   p
这场   mq
房价   n
与   p
收入   v
的   uj
赛跑   v
中   f
大部分   m
年轻人   n
都   d
被   p
无情地   i
抛在   v
了   ul
后面   f
其中   r
很多   m
人   n
都   d
与   p
何先生   nr
相似   v
有着   v
一份   m
相当   d
不错   a
的   uj
职业   n
和   c
一份   m
中等偏上   l
的   uj
收入   v
但   c
这   r
也   d
不能   v
成全   v
他   r
在   p
广州   ns
这个   r
城市   ns
有   v
属于   v
自己   r
的   uj
一份   m
房产   j
何先生   nr
给   p
记者   n
算了   v
一笔   m
账   n
一套   m
面积   n
在   p
80   m
到   v
100   m
平米   q
的   uj
三房   n
即使   c
便宜   a
点   m
的   uj
也   d
要   v
70   m
万元   m
左右   m
而且   c
20   m
多万元   m
的   uj
首付款   n
已   d
让   v
他   r
感受   v
到   v
一份   m
房产   j
的   uj
沉重   a
如果   c
贷款   n
50   m
万   m
他   r
得   ud
连续   a
20   m
年   m
月   m
月   m
交出   v
4000   m
元   m
还贷   v
而   c
这   r
已经   d
占据   v
他   r
收入   v
的   uj
大半   m
部分   n
何先生   nr
认为   v
他   r
的   uj
工作   vn
压力   n
大   a
收入   v
并   c
不   d
稳定   a
再   d
把   p
身体健康   l
和   c
未来   t
子女教育   l
等   u
问题   n
考虑   v
进去   v
高额   n
还贷   v
压力   n
对   p
他   r
来说   u
是   v
不   d
现实   n
的   uj
今年   t
上半年   t
他   r
改变   v
自己   r
的   uj
选择   v
想   v
从   p
二手房   n
里   f
淘到   v
价格   n
合适   a
的   uj
房子   n
但   c
从   p
今年初   t
到   v
现在   t
何先生   nr
已经   d
找   v
过   ug
十多家   m
房产   j
中介   j
看   v
了   ul
十几套   m
房子   n
均   d
无   v
结果   n
何先生   nr
告诉   v
记者   n
现在   t
卖方   n
业主   n
一般   a
会   v
找   v
多家   m
中介机构   n
同时   c
代理   n
而   c
许多   m
中介机构   n
都   d
会   v
在   p
代理   n
过程   n
中   f
抬高   v
价格   n
吃   v
差价   n
同   p
一处   m
楼盘   n
在   p
不同   a
中介机构   n
中所   j
标   n
价格   n
相差   v
最高   a
的   uj
达到   v
8   x
万元   m
少   a
的   uj
也   d
会   v
有   v
两三万   m
所以   c
何先生   nr
建议   n
要   v
多   m
看   v
几家   m
对比   v
选择   v
出   v
比较   d
诚信   nz
的   uj
中介   j
另外   c
让   v
何先生   nr
苦恼   a
的   uj
是   v
很多   m
放盘   v
的   uj
业主   n
看到   v
自己   r
房子   n
比较   d
好卖   v
的   uj
时候   n
又   d
收手   v
抬价   v
了   ul
何先生   nr
节前   t
两次   m
在   p
番禺   ns
洛溪   ns
某   r
盘   q
看好   v
房子   n
准备   v
下   f
定都   d
因   p
业主   n
突然   ad
提出   v
加价   v
因此   c
未能   v
成交   v
这个   r
黄金周   nr
他   r
依然   d
奔波   v
在   p
看房   v
的   uj
路上   s
发展商   n
回应   v
囤货   v
另有其   c
因   p
专家   n
称   v
囤货   v
也   d
有   v
风险   n
5   m
月   m
3   m
日   m
本报   r
黄金周   nr
没有   v
楼盘   n
不   d
囤货   v
的   uj
报道   v
一石激起千层浪   l
在   p
买家   n
称快   v
的   uj
同时   c
也   d
有   v
发展商   n
对此   d
作出   v
回应   v
认为   v
他们   r
囤货   v
目的   n
不是   c
提价   v
而是   c
另   r
有所   n
虑   vg
一位   m
发展商   n
给   p
记者   n
的   uj
解释   v
是   v
他们   r
之所以   c
没有   v
拿出   v
全部   n
货量   n
卖   v
主要   b
是   v
一部分   m
楼宇   nr
的   uj
预售证   n
并未   d
如期   t
拿到   v
另   r
一   m
发展商   n
认为   v
他们   r
留   v
着   uz
一部分   m
单位   n
不卖   v
不是   c
囤货   v
提价   v
而是   c
出于   v
销售   vn
管理   vn
方面   n
的   uj
考虑   v
因为   c
分期   vn
推出   v
楼盘   n
有利于   v
分析   vn
客户   n
的   uj
需求   v
和   c
市场   n
的   uj
走向   v
以   p
进一步   d
完善   v
楼盘   n
的   uj
销售   vn
工作   vn
另外   c
担心   v
供应量   n
太   d
大   a
所以   c
新   a
推出   v
的   uj
产品   n
就   d
保留   v
了   ul
一部分   m
这   r
也   d
是   v
跟着   v
市场   n
需求量   n
定夺   v
有   v
发展商   n
向   p
记者   n
坦承   v
目前   t
广州   ns
确实   ad
存在   v
少数   m
开发商   n
有意   v
积压产品   n
然后   c
利用   n
市场   n
走高   v
来   v
提升   v
定价   n
以   p
获取   v
更   d
多   m
利润   n
尤其   d
是   v
有   v
资金   n
支撑   v
的   uj
发展商   n
他们   r
囤积   v
得起   v
在   p
市场   n
好   a
的   uj
情况   n
下   f
也   d
愿意   v
囤积   v
而且   c
在   p
本报   r
于   p
黄金周   nr
前   f
进行   v
的   uj
网络   n
调查   vn
显示   v
认为   v
目前   t
广州   ns
囤积   v
房源   n
非常   d
严重   a
的   uj
占   v
了   ul
大多数   m
有关   vn
房地产   j
专家   n
提出   v
囤货   v
也   d
是   v
有   v
风险   n
的   uj
近期   t
银行利息   n
的   uj
变化   vn
预示   v
国家   n
新一轮   nz
宏观调控   n
的   uj
开始   v
随后   d
将   d
有   v
更   d
多   m
新政   n
出台   v
对   p
房价   n
肯定   v
会   v
产生   n
抑止   v
作用   v
开发商   n
囤积   v
产品   n
存在   v
很大   a
风险   n
像   v
白云区   nr
一   m
高档   b
楼盘   n
2000   m
年   m
左右   m
价格   n
曾   d
达到   v
13000   m
-   x
14000   m
元   m
/   x
平方米   q
当时   t
的   uj
开发商   n
立即   d
积压   n
部分   n
货量   n
但   c
随后   d
市场   n
回落   v
价格   n
一路   m
降至   v
7000   m
元   m
/   x
平方米   q
开发商   n
因此   c
损失惨重   i
目前   t
有   v
条件   n
囤货   v
的   uj
楼盘   n
主要   b
位于   v
广州市   ns
中心   n
城区   n
如   v
珠江   ns
新城   ns
等   u
地   uv
这些   r
区域   n
楼盘   n
价格   n
稳定   a
增值   v
潜力   n
较大   a
且   zg
短期内   n
价格   n
很   d
难   a
出现   v
大幅   d
下挫   v
而   c
广州   ns
其它   r
区域   n
受   v
交通   n
环境   n
和   c
供求   v
等   u
方面   n
限制   v
并   c
不   d
具备   v
囤货   v
条件   n
区域   n
巡盘   n
广州   ns
大道北   ns
楼价   n
购买力   n
都   d
涨   v
在   p
近半年   t
来   v
越来越   d
能   v
提起   v
买家   n
购买   v
兴趣   n
的   uj
广州   ns
大道北   ns
区域   n
在   p
这个   r
五一   m
黄金周   nr
也   d
同样   d
备受   v
关注   v
因为   c
有   v
多个   m
新   a
盘   q
新   a
产品   n
推出   v
该   r
区域   n
楼盘   n
吸引   v
的   uj
人流   n
比较   d
多   m
尽管   c
楼价   n
涨幅   n
不小   a
但   c
购买力   n
也   d
呈上升   v
态势   n
记者   n
了解   v
到   v
于   p
5   m
月   m
1   m
日   m
开盘   v
的   uj
白云   nr
信步   n
闲庭   n
因为   c
邀请   v
了   ul
宋祖英   nr
阎维文   nr
到   v
楼盘   n
现场   n
演出   v
因此   c
当天   t
的   uj
人流量   n
有   v
上万   m
人   n
前两天   i
就   d
有   v
过   ug
百套   m
单位   n
成交   v
并且   c
黄金周   nr
四天   m
来   v
每天   r
都   d
有   v
近百名   l
客户   n
看楼   v
在   p
刚   t
开始   v
内部   f
登记   v
的   uj
君华   nz
·   x
又   d
一   m
城   n
销售   vn
人员   n
告诉   v
记者   n
这几天来   l
咨询   vn
的   uj
买家   n
多   m
想   v
购买   v
中   f
小户型   n
尤其   d
是   v
对   p
单身公寓   n
比较   d
感兴趣   n
于   p
去年   t
推出   v
的   uj
云山   ns
熹景   nz
把   p
该   r
区域   n
的   uj
楼价   n
从   p
5000   m
元   m
/   x
平方米   q
以下   f
拉高   nrt
到   v
近   a
6000   m
元   m
/   x
平方米   q
五一   m
黄金周   nr
又   d
卖到   v
6500   m
元   m
/   x
平方米   q
