新一轮   nz
有   v
价值   n
的   uj
数学   n
在   p
数学   n
教学   n
中   f
教师   n
要   v
善于   v
在   p
现实生活   n
中   f
采撷   v
教学   n
实例   n
把   p
社会   n
生活   vn
中   f
的   uj
题材   n
引入   v
到   v
数学   n
课堂教学   n
之中   r
让   v
学生   n
在   p
发现   v
问题   n
解决问题   n
实践   v
活动   vn
的   uj
过程   n
中   f
建立   v
用   p
数学   n
的   uj
意识   n
培养   v
用   p
数学   n
的   uj
能力   n
体验   n
用   p
数学   n
的   uj
乐趣   a
还要   c
引导   v
学生   n
从   p
现实生活   n
中   f
发现   v
数学   n
问题   n
建立   v
用   p
数学   n
的   uj
意识   n
数学   n
来源于   v
生活   vn
生活   vn
中   f
处处   v
有   v
数学   n
《   x
数学课程   n
标准   n
》   x
指出   v
教学   n
中要   b
创设   vn
与   p
学生   n
生活   vn
环境   n
知识   v
背景   n
密切相关   l
的   uj
又   d
是   v
学生   n
感兴趣   n
的   uj
学习   v
情景   n
让   v
学生   n
在   p
观察   v
操作   v
猜测   vn
交流   n
反思   v
等   u
活动   vn
中   f
逐步   d
体会   n
数学知识   n
的   uj
产生   n
形成   v
和   c
发展   vn
的   uj
过程   n
获取   v
积极   ad
的   uj
情感   n
体验   n
感受   v
数学   n
的   uj
力量   n
同时   c
掌握   v
必要   d
的   uj
基础知识   n
和   c
基本技能   n
让   v
学生   n
参与   v
一定   d
的   uj
含有   v
数学   n
问题   n
的   uj
实践   v
活动   vn
在   p
提高   v
用   p
数学   n
的   uj
能力   n
的   uj
同时   c
体验   n
用   p
数学   n
的   uj
乐趣   a
在   p
数学   n
教学   n
中   f
教师   n
有   v
目的   n
有   v
计划   n
地   uv
组织   v
学生   n
参与   v
具有   v
生活   vn
实际   n
背景   n
的   uj
数学   n
实践   v
活动   vn
通过   p
运用   vn
所学   n
的   uj
数学知识   n
解决   v
一些   m
简单   a
的   uj
实际   n
问题   n
既   c
能   v
巩固   v
所学   n
的   uj
数学知识   n
又   d
能   v
开阔   v
学生   n
的   uj
数学   n
视野   n
例如   v
教学   n
《   x
找   v
规律   n
》   x
后   f
我   r
让   v
学生   n
分小组   n
为   p
黑板报   n
设计   vn
有   v
规律   n
的   uj
花边   n
为   p
学习   v
园地   n
设计   vn
有   v
规律   n
的   uj
花边   n
比一比   nr
哪个   r
小组   n
设计   vn
的   uj
花边   n
新颖   a
漂亮   a
让   v
学生   n
在生活中   l
运用   vn
规律   n
的   uj
知识   v
在   p
比赛   vn
中   f
获得成功   l
的   uj
体验   n
教学   n
《   x
认识   v
钟表   n
》   x
（   x
人教版   n
第一册   m
）   x
后   f
我   r
指导   n
学生   n
为   p
自己   r
设计   vn
合理   vn
的   uj
作息时间   n
表并   v
严格   ad
按   p
作息时间   n
表   v
起床   v
吃饭   v
上学   n
放学   n
做作业   n
睡觉   v
教育   vn
学生   n
珍惜   a
时间   n
做   v
时间   n
的   uj
主人   n
教学   n
《   x
统计   v
》   x
（   x
人教版   n
第四册   m
）   x
后   f
我   r
引导   v
学生   n
调查   vn
本班   n
同学   n
每天   r
看电视   v
的   uj
时间   n
制作   vn
统计图表   n
提出   v
问题   n
并   c
解决问题   n
谈谈   vn
自己   r
的   uj
看法   v
使   v
学生   n
学会   n
在生活中   l
运用   vn
统计   v
知识   v
并   c
学会   n
自我   r
控制   v
自主   v
管理   vn
通过   p
一系列   m
的   uj
实践   v
活动   vn
让   v
学生   n
发现   v
数学   n
就   d
在   p
身边   s
从而   c
提高   v
用   p
数学   n
思维   n
看待   v
实际   n
问题   n
的   uj
能力   n
提高   v
收集整理   n
信息   n
的   uj
能力   n
体验   n
在生活中   l
用   p
数学   n
带来   v
的   uj
乐趣   a
运用   vn
数学知识   n
解决问题   n
的   uj
能力   n
对于   p
个人   n
乃至   c
整个   b
民族   n
整个   b
人类   n
适应   v
和   c
促进   v
未来   t
生活   vn
具有   v
重要   a
的   uj
意义   n
因此   c
作为   v
一个   m
数学教师   n
在   p
数学   n
教学   n
过程   n
中   f
应   v
在   p
新课程   n
理念   n
指导   n
下   f
既要   b
联系   n
生活   vn
中   f
的   uj
实际   n
问题   n
又   d
要   v
挖掘   v
数学知识   n
的   uj
生活   vn
内涵   n
让   v
数学   n
教学   n
更多   d
的   uj
联系实际   l
更   d
贴近生活   n
做到   v
生活   vn
材料   n
数学   n
化   n
数学   n
教学   n
生活化   vn
促使   v
学生   n
能够   v
主动   b
联系   n
生活   vn
实际   n
在   p
实际   n
背景   n
中   f
应用   v
数学   n
能够   v
主动   b
运用   vn
数学   n
的   uj
思想   n
方法   n
解决问题   n
总之   c
引导   v
学生   n
做   v
数学   n
整个   b
过程   n
是   v
教师   n
与   p
学生   n
学生   n
与   p
学生   n
之间   f
的   uj
多边   r
活动   vn
的   uj
过程   n
整个   b
过程   n
是   v
在   p
相互   d
的   uj
合作   vn
交流   n
之中   r
完成   v
的   uj
在   p
这个   r
过程   n
中   f
教师   n
必须   d
发挥   v
其   r
能动   v
作用   v
恰到好处   i
的   uj
去   v
引导   v
充分发挥   n
各自   r
的   uj
角色   n
的   uj
主观能动   n
作用   v
从而   c
提高   v
学生   n
数学   n
学习   v
的   uj
能力   n
最终   d
提高   v
学生   n
的   uj
综合   vn
素质   n
来源   n
中国   ns
教育   vn
