第一   mq
并非   v
一切   rz
……   w
都   d
是   vshi
的   ude1
或   c
一切   rz
……   w
不   d
都   d
是   vshi
例如   v
(   w
1   m
)   w
Alloftheheatsuppliedtotheengineisnotconvertedintousefulwork   nx
的   ude1
.(   w
并非   v
供给   vn
热机   n
的   ude1
所有   b
热量   n
都   d
被   pbei
转变   v
为   p
有用   a
的   ude1
功   n
错译   nz
所有   b
供给   vn
热机   n
的   ude1
热量   n
都   d
没有   v
被   pbei
转变   v
为   p
有用   a
的   ude1
功   n
)(   w
2   m
)   w
Everyonecannotdothesetests   nx
.(   w
并非   v
人人   n
都   d
能   v
做   v
这些   rz
试验   vn
错译   nz
每个   mq
人   n
都   d
的   ude1
不能   v
做   v
这些   rz
试验   vn
)(   w
3   m
)   w
Bothinstrumentsarenotprecise   nx
.(   w
两   m
台   q
仪器   n
并不   d
都   d
是   vshi
精密   a
的   ude1
错译   nz
两   m
台   q
仪器   n
都   d
不是   c
精密   a
的   ude1
)(   w
4   m
)   w
Thisplantdoesnotalwaysmakesuchmachinetools   nx
.(   w
这个   rz
工厂   nis
并不   d
总是   d
制造   vn
这样   rzv
的   ude1
机床   n
错译   nz
这个   rz
工厂   nis
总是   d
不   d
制造   vn
这样   rzv
的   ude1
机床   n
)   w
但是   c
当   p
（   w
这些   rz
总括   v
词   n
+   w
肯定   v
式   k
谓语   n
+   w
含   v
否定   v
意义   n
的   ude1
单词   n
……   w
）   w
时则   nr
是   vshi
表示   v
全部   m
否   vg
例如   v
(   w
1   m
)   w
Allgermsareinvisibletothenakedeye   nx
.(   w
一切   rz
细菌   n
都   d
是   vshi
肉眼   n
看不见   v
的   ude1
)(   w
2   m
)   w
Everydesignmadebyherisimpossibleofexecution   nx
.(   w
她   rr
所   usuo
做   v
的   ude1
一切   rz
设计   vn
都   d
是   vshi
不能   v
执行   v
的   ude1
)(   w
3   m
)   w
Bothdataareincomplete   nx
.(   w
两   m
个   q
数据   n
都   d
不   d
完整   a
)(   w
4   m
)   w
Inpracticeerrorsometimesalwaysseemsunavoidable   nx
.(   w
在实践中   n
差错   n
有时   d
似乎   d
总是   d
不可避免   vl
的   ude1
)   w
第二   mq
页   q
四定   j
语   ng
从句   n
的   ude1
汉译   v
1   m
只要   c
是   vshi
比较   d
短   a
的   ude1
或者   c
虽然   c
较长   d
但   c
汉译   v
后   f
放在   v
被   pbei
修饰语   n
之前   f
仍然   d
很   d
通顺   a
一般   ad
的   ude1
就   d
放在   v
被   pbei
修饰语   n
之前   f
这种   r
译法   nz
叫做   v
逆序   nz
合   v
译法   nz
例如   v
(   w
1   m
)   w
Thespeedofwaveisthedistanceitadvancesperunittime   nx
.(   w
波速   nz
是   vshi
波   n
在   p
单位   n
时间   n
内   f
前进   vi
的   ude1
距离   n
)   w
(   w
2   m
)   w
Thelightwavethathasbouncedoffthereflectingsurfaceiscalledthereflectedray   nx
(   w
从   p
反射   v
表面   n
跳   vi
回   v
的   ude1
光波   n
称为   v
反射线   n
)(   w
3   m
)   w
stainlesssteelhickisverypopularforitsresistancetorustingcontainslargepercentageofchromium   nx
.(   w
具有   v
突出   a
防锈   vn
性能   n
的   ude1
不锈钢   n
含铬   n
的   ude1
百分比   n
很高   d
)   w
2   m
定语   n
从句   n
较长   d
或者   c
虽然   c
不长   v
但   c
汉译   v
时   qt
放在   v
被   pbei
修饰语   n
之前   f
实在   d
不   d
通顺   a
的   ude1
就   d
后置   n
作为   p
词组   n
或   c
分句   n
这种   r
译法   nz
叫做   v
顺序   n
分   qt
译法   nz
例如   v
(   w
1   m
)   w
Eachkindofatomseemstohaveadefinitenumberofhandsthatitcanusetoholdontoothers   nx
.   w
每   rz
一   m
种   q
原子   n
似乎   d
都   d
有   vyou
一定   b
数目   n
的   ude1
手   n
用来   v
抓牢   nz
其它   rz
原子   n
(   w
顺序   n
分   qt
译法   nz
)   w
每   rz
一   m
种   q
原子   n
似乎   d
都   d
有   vyou
一定   b
数目   n
用于   v
抓牢   nz
其它   rz
原子   n
的   ude1
手   n
(   w
逆序   nz
合   v
译法   nz
)   w
这   rzv
句   q
限制性   n
定语   n
从句   n
虽然   c
不长   v
但   c
用   p
顺序   n
分   qt
译法   nz
译出   v
的   ude1
译文   n
要   v
比   p
用   p
逆序   nz
合   v
译法   nz
更为   d
通顺   a
(   w
2   m
)   w
LetABinthefigureaboverepresentaninclinedplanethesurfaceofwhichissmoothandunbending   nx
.   w
设   v
上图   n
中   f
AB   nx
代表   nnt
一个   mq
倾斜   vi
平面   n
其   rz
表面   n
光滑   a
不   d
弯   ng
(   w
顺序   n
分   qt
译法   nz
)   w
设   v
上图   n
中   f
AB   nx
代表   nnt
一个   mq
其   rz
表面   n
为   p
光滑   a
不   d
弯   ng
的   ude1
倾斜   vi
平面   n
(   w
逆序   nz
合   v
译法   nz
)   w
上面   f
两   m
种   q
译法   nz
看来   v
也   d
是   vshi
用   p
顺序   n
分   qt
译法   nz
比   p
用   p
逆序   nz
合   v
译法   nz
更为   d
通顺   a
简明   a
3   m
定语   n
从句   n
较长   d
与   cc
主句   n
关联   vn
又   d
不   d
紧密   ad
汉译   v
时   qt
就   d
作为   p
独立   a
句   q
放在   v
主句   n
之后   f
这种   r
译法   nz
仍然   d
是   vshi
顺序   n
分   qt
译法   nz
例如   v
(   w
1   m
)   w
Suchaslowcompressioncarriesthegasthroughaseriesofstates   nx
.   w
eachofwhichisverynearlyanequilibriumstateanditiscalledaquasi-staticoranearlystaticprocess   nx
.   w
这样   rzv
的   ude1
缓慢   a
压缩   v
能   v
使   v
这种   r
气体   n
经历   n
一系列   b
的   ude1
状态   n
但   c
各   rz
状态   n
都   d
很   d
接近   v
于   p
平衡状态   gm
所以   c
叫做   v
准   a
静态   n
过程   n
或   c
近似   a
稳定   an
过程   n
(   w
2   m
)   w
Frictionwearsawaymetalinthemovingpartswhichshortenstheirworkinglife   nx
.   w
运动   vn
部件   n
间   f
的   ude1
摩擦力   n
使   v
金属   n
磨损   vn
这   rzv
就   d
缩短   v
了   ule
运动   vn
部件   n
的   ude1
使用寿命   nz
4   m
There   nx
+   w
be   nx
句型   n
中的   v
限制性   n
定语   n
从句   n
汉译   v
时   qt
往往   d
可以   v
把   pba
主句   n
中的   v
主语   n
和   cc
定语   n
从句   n
溶合   nz
一起   s
译成   v
一个   mq
独立   a
的   ude1
句子   n
这种   r
译法   nz
叫做   v
溶   vi
合法   a
也   d
叫   vi
拆   v
译法   nz
例如   v
(   w
1   m
)   w
Therearebacteriathathelpplantsgrowothersthatgetridofdeadanimalsandplantsbymakingthemdecayandsomethatliveinsoilandmakeitbetterforgrowingcrops   nx
.   w
有些   rz
细菌   n
能   v
帮助   v
植物   n
生长   v
另   rz
一些   m
细菌   n
则   d
通过   p
腐蚀   v
来   vf
消除   v
死去   v
的   ude1
动物   n
和   cc
植物   n
还有   v
一些   m
细菌   n
则   d
生活   vn
在   p
土壤   n
里   f
使   v
土壤   n
变得   vi
对   p
种植   vn
庄稼   n
更   d
有   vyou
好处   n
(   w
2   m
)   w
Thereisaone-seatedwhichyoucouldlearntodriveinfiftyminutes   nx
.   w
有   vyou
一   m
种   q
单座式   nz
汽车   n
五十   m
分钟   qt
就   d
能   v
让   v
你   rr
学会   v
驾驶   v
2   m
