第一   mq
出口   vn
某些   rz
高耗能   n
产品   n
不合理   nz
但   c
仔细   ad
观察   v
电价   n
太低   nz
地价   n
太低   nz
治理   vn
污染   vn
的   ude1
费用   n
变成   v
了   ule
企业   n
利润   n
加上   v
出口退税   v
怎么   ryv
能   v
不   d
生产   vn
和   cc
出口   vn
创建   v
节约型   n
社会   n
建立   v
最   d
严格   ad
的   ude1
资源   n
保护   vn
制度   n
是   vshi
当务之急   n
关键   n
是   vshi
让   v
价格   n
起   vf
作用   n
今年   t
起   vf
我国   n
将   d
实施   v
GDP   nx
能耗   n
指标   n
公报   n
制度   n
这   rzv
是   vshi
促进   v
科学   n
发展   vn
的   ude1
一个   mq
重要   a
政策   n
导向   n
七   m
外部   f
压力   n
对外贸易   n
总额   n
跻身   v
世界   n
三   m
强   a
外贸   n
依存度   n
接近   v
70   m
％   w
全方位   n
宽   a
领域   n
多层次   n
的   ude1
对外开放   vl
格局   n
已经   d
形成   v
我国   n
经济   n
与   cc
国际   n
经济   n
的   ude1
联系   v
更加   d
紧密   ad
；   w
但   c
经济   n
全球化   vn
的   ude1
双刃剑   n
作用   n
日益   d
显现   v
贸易摩擦   v
明显   a
增多   v
围绕   v
知识产权   nz
保护   vn
人民币   n
汇率   n
调整   vn
等   udeng
方面   n
的   ude1
外部   f
压力   n
加大   v
权威   n
点评   v
刘世锦   nr
介绍   v
经济   n
增长   v
的   ude1
立足点   n
必须   d
放到   v
扩大内需   nz
上来   vf
扩大内需   nz
不是   c
权宜之计   n
而是   c
保证   v
我国   n
经济   n
持续   vd
快速   d
稳定增长   nz
必须   d
坚持   v
的   ude1
长期   d
战略方针   nz
利用   v
外需   n
的   ude1
重点   n
要   v
放到   v
转变   v
外贸   n
增长   v
方式   n
持续   vd
提高   v
外贸   n
的   ude1
质量   n
和   cc
效益   n
上来   vf
着眼于   v
在   p
全球   n
产业   n
分工   vn
链条   n
中   f
位置   n
的   ude1
提升   v
吸引外资   nz
政策   n
应当   v
更加   d
明确   a
地   ude2
将   d
重点   n
放在   v
技术   n
引入   v
传播   vn
和   cc
创新   vi
上   f
八   m
城乡   n
差距   n
城乡居民   nz
家庭   n
人均   a
可支配   nz
收入   n
比   p
2000   m
年   qt
2.812004   m
年   qt
3.21   m
农业   n
和   cc
农村   n
经济发展   v
进入   v
新阶段   nz
城镇化   vn
进程   n
加快   v
；   w
但   c
城乡居民   nz
在   p
教育   vn
医疗   n
等   udeng
方面   n
享有   v
的   ude1
公共服务   nz
差距   n
更为   d
突出   a
城乡   n
二元   b
结构   n
矛盾   an
还   d
很   d
尖锐   a
权威   n
点评   v
中央财经领导小组办公室   nt
副主任   nnt
陈锡文   nr
介绍   v
城市   n
发展   vn
再快   d
楼房   n
建   v
得   ude3
再   d
漂亮   a
如果   c
农村   n
凋敝   a
农业   n
衰弱   a
农民   nnt
富   vg
不   d
起来   vf
经济   n
也   d
难以   d
长久   a
繁荣   an
反而   d
会   v
拖   v
国家   n
现代化   vn
的   ude1
后腿   n
要使   c
建设   vn
社会主义   n
新农村   ns
真正   d
成为   v
惠及   v
广大   b
农民   nnt
群众   n
的   ude1
民心工程   nz
就   d
要   v
积极   ad
推进   vi
统筹   vd
城乡   n
发展   vn
实行   v
工业   n
反哺   v
农业   n
城市   n
支持   v
农村   n
的   ude1
方针   n
这不   l
单纯   a
是   vshi
多   a
拿出   v
几   d
个   q
钱   n
的   ude1
事   n
更   d
重要   a
的   ude1
是从   v
经济社会   nz
发展   vn
全局   n
考虑   v
从   p
思想   n
认识到   v
工作   vn
部署   vn
要   v
有   vyou
一个   mq
大   a
的   ude1
转变   v
九   m
创新   vi
不足   an
中国   ns
GDP   nx
排位   n
前移   v
科技   n
创新能力   nz
中等   b
偏下   f
世界   n
科技   n
迅猛发展   nz
引发   v
的   ude1
全球   n
经济   n
格局   n
深刻   a
变化   vn
和   cc
重大   a
调整   vn
为   p
我国   n
发挥   v
后发优势   l
提供   v
了   ule
重大   a
机遇   n
；   w
但   c
我国   n
科技   n
总   b
水平   n
与   cc
发达国家   n
还有   v
很大   d
差距   n
将   d
长期   d
面临   v
发达国家   n
科技   n
占优势   vi
的   ude1
压力   n
自主创新   v
能力   n
不足   an
已经   d
日益   d
成为   v
发展   vn
的   ude1
瓶颈   n
制约   vn
权威   n
点评   v
科技部   nz
部长   nnt
徐冠华   nr
介绍   v
中国   ns
科技进步   nz
必须   d
牢牢   d
建立   v
在   p
自主创新   v
的   ude1
基点   n
之上   f
依托   v
自身   rr
特定   b
的   ude1
国情   n
适应   v
自身   rr
的   ude1
战略   n
需求   n
选择   v
自己   rr
的   ude1
科技   n
发展   vn
方向   n
和   cc
道路   n
确立   v
自己   rr
的   ude1
战略目标   nz
集中力量   nz
实施   v
一   m
批   q
重大   a
战略   n
产品   n
计划   n
和   cc
工程   n
专项   b
另外   c
还要   d
超前   a
部署   vn
基础科学   n
和   cc
前沿技术   nz
；   w
大幅度   d
增加   v
科技   n
投入   v
提高   v
科技   n
资金   n
使用   v
效益   n
；   w
加快   v
建立   v
以   p
企业   n
为   p
主体   n
产学研   n
结合   v
的   ude1
技术创新   nz
体系   n
十   m
反贪   vn
肃   vg
贿   ng
去年   t
13   m
名   q
省   n
（   w
部   q
）   w
级   q
干部   nnt
受到   v
党纪处分   nz
腐败现象   nz
滋生   v
蔓延   vi
的   ude1
势头   n
正在   d
得到   v
遏制   v
标本兼治   vl
工作   vn
取得   v
了   ule
良好   a
的   ude1
综合   vn
效果   n
；   w
但   c
腐败现象   nz
在   p
一些   m
地方   n
和   cc
部门   n
仍然   d
突出   a
反腐倡廉   vl
的   ude1
任务   n
仍然   d
艰巨   a
权威   n
点评   v
郑必坚   nr
介绍   v
加强   v
党风廉政   nz
建设   vn
搞好   v
反腐败   nz
斗争   vn
是   vshi
推进   vi
经济社会   nz
发展   vn
的   ude1
重要   a
保证   v
以   p
廉为荣   nr
以   p
贪   v
为   p
耻   ag
十一五   m
期间   f
我国   n
要   v
建立健全   nz
教育   vn
制度   n
监督   vn
并重   vi
的   ude1
惩治   v
和   cc
预防   v
腐败体系   nz
要   v
加强   v
对   p
党员干部   nz
特别   d
是   vshi
领导干部   nnt
作风   n
的   ude1
监督   vn
检查   vn
坚决   ad
反对   v
搞   v
劳民伤财   vl
的   ude1
形象工程   nz
政绩   n
工程   n
坚决   ad
纠正   v
讲排场   vi
比阔气   l
奢侈   a
挥霍   v
等   udeng
不良风气   l
对   p
跑官   v
要   v
官   n
的   ude1
不仅   c
不能   v
提拔   v
重用   v
还要   d
严肃   a
批评   vn
并   cc
记录在案   n
；   w
对   p
买官   v
卖官   nz
的   ude1
发现   v
一起   s
查处   v
一起   s
决不   d
手软   a
来源   n
人民网   nz
2   m
