不高不低   i
两   m
次   qv
在   p
番禺   ns
洛溪   ns
某   rz
盘   qv
看好   v
房子   n
准备   v
下定   nz
都因   nr
业主   n
突然   ad
提出   v
加价   vi
因此   c
未能   v
成交   v
这个   rz
黄金周   nr
他   rr
依然   d
奔波   vi
在   p
看房   nz
的   ude1
路上   s
发展商   nnd
回应   vn
囤货   nz
另有其   c
因   p
专家   nnt
称   v
囤货   nz
也   d
有   vyou
风险   n
5月   t
3   m
日本   ns
报   n
黄金周   nr
没有   v
楼盘   n
不   d
囤货   nz
的   ude1
报道   v
一石激起千层浪   nz
在   p
买家   n
称快   v
的   ude1
同时   c
也   d
有   vyou
发展商   nnd
对此   d
作出   v
回应   vn
认为   v
他们   rr
囤货   nz
目的   n
不是   c
提价   vi
而是   c
另有   v
所   usuo
虑   vg
一   m
位   q
发展商   nnd
给   p
记者   nnt
的   ude1
解释   v
是   vshi
他们   rr
之所以   c
没有   v
拿出   v
全部   m
货   n
量   n
卖   v
主要   b
是   vshi
一部分   mq
楼宇   n
的   ude1
预售证   n
并未   d
如期   d
拿到   v
另   rz
一发   d
展商   v
认为   v
他们   rr
留   v
着   uzhe
一部分   mq
单位   n
不卖   v
不是   c
囤货   nz
提价   vi
而是   c
出于   v
销售   vn
管理方面   n
的   ude1
考虑   v
因为   c
分期   d
推出   v
楼盘   n
有利于   v
分析   vn
客户   n
的   ude1
需求   n
和   cc
市场   n
的   ude1
走向   v
以   p
进一步   d
完善   v
楼盘   n
的   ude1
销售   vn
工作   vn
另外   c
担心   v
供应量   n
太大   d
所以   c
新   a
推出   v
的   ude1
产品   n
就   d
保留   v
了   ule
一部分   mq
这   rzv
也   d
是   vshi
跟着   v
市场   n
需求量   n
定夺   vi
有   vyou
发展商   nnd
向   p
记者   nnt
坦承   v
目前   t
广州   ns
确实   ad
存在   v
少数   mq
开发商   nnd
有意   d
积压产品   n
然后   c
利用   v
市场   n
走高   nz
来   vf
提升   v
定价   n
以   p
获取   v
更多   ad
利润   n
尤其   d
是   vshi
有   vyou
资金   n
支撑   v
的   ude1
发展商   nnd
他们   rr
囤积   v
得   ude3
起   vf
在   p
市场   n
好   a
的   ude1
情况下   nz
也   d
愿意   v
囤积   v
而且   c
在   p
本报   rz
于   p
黄金周   nr
前   f
进行   vn
的   ude1
网络   n
调查   vn
显示   v
认为   v
目前   t
广州   ns
囤积   v
房源   n
非常   d
严重   a
的   ude1
占   v
了   ule
大多数   m
有关   vn
房地产   n
专家   nnt
提出   v
囤货   nz
也   d
是   vshi
有   vyou
风险   n
的   ude1
近期   t
银行利息   n
的   ude1
变化   vn
预示   v
国家   n
新一轮   nz
宏观调控   nz
的   ude1
开始   v
随后   d
将   d
有   vyou
更多   ad
新政   n
出台   vi
对   p
房价   n
肯定   v
会   v
产生   v
抑止   v
作用   n
开发商   nnd
囤积   v
产品   n
存在   v
很大   d
风险   n
像   v
白云区   ns
一   m
高档   b
楼盘   n
2000   m
年   qt
左右   f
价格   n
曾   d
达到   v
13000   m
-   nx
14000   m
元   q
/   w
平方米   q
当时   t
的   ude1
开发商   nnd
立即   d
积压   v
部分   n
货   n
量   n
但   c
随后   d
市场   n
回落   vi
价格   n
一路   m
降至   vf
7000   m
元   q
/   w
平方米   q
开发商   nnd
因此   c
损失惨重   i
目前   t
有条件   nz
囤货   nz
的   ude1
楼盘   n
主要   b
位于   v
广州市   ns
中心   nis
城区   ns
如   v
珠江   ns
新城   ns
等   udeng
地   ude2
这些   rz
区域   n
楼盘   n
价格   n
稳定   an
增值   vn
潜力   n
较大   d
且   c
短期内   nz
价格   n
很难   d
出现   v
大幅   d
下挫   v
而   cc
广州   ns
其它   rz
区域   n
受   v
交通   n
环境   n
和   cc
供求   n
等   udeng
方面   n
限制   vn
并不   d
具备   v
囤货   nz
条件   n
区域   n
巡   vg
盘   qv
广州   ns
大道北   nz
楼价   n
购买力   n
都   d
涨   vi
在   p
近   a
半   mq
年   qt
来   vf
越来越   d
能   v
提起   v
买家   n
购买   v
兴趣   n
的   ude1
广州   ns
大道北   nz
区域   n
在   p
这个   rz
五一   m
黄金周   nr
也   d
同样   d
备受   v
关注   v
因为   c
有   vyou
多   a
个   q
新   a
盘   qv
新产品   nz
推出   v
该   rz
区域   n
楼盘   n
吸引   v
的   ude1
人流   n
比较   d
多   a
尽管   c
楼价   n
涨幅   n
不小   a
但   c
购买力   n
也   d
呈上升   v
态势   n
记者   nnt
了解到   v
于   p
5月   t
1   m
日   b
开盘   vi
的   ude1
白云   n
信步   vd
闲庭   nz
因为   c
邀请   v
了   ule
宋祖英   nr
阎维文   nr
到   v
楼盘   n
现场   s
演出   vn
因此   c
当天   t
的   ude1
人流量   n
有   vyou
上万   mq
人   n
前   f
两   m
天   qt
就   d
有   vyou
过   uguo
百   m
套   q
单位   n
成交   v
并且   c
黄金   n
周四   t
天   qt
来   vf
每天   t
都有   nr
近百名   l
客户   n
看楼   nz
在   p
刚开始   nz
内部   f
登记   vn
的   ude1
君   ng
华   b
·   w
又一城   nz
销售   vn
人员   n
告诉   v
记者   nnt
这几天来   nz
咨询   vn
的   ude1
买家   n
多   a
想   v
购买   v
中   f
小户型   nz
尤其   d
是   vshi
对   p
单身公寓   nz
比较   d
感兴趣   a
于   p
去年   t
推出   v
的   ude1
云山   n
熹   n
景   ng
把   pba
该   rz
区域   n
的   ude1
楼价   n
从   p
5000   m
元   q
/   w
平方米   q
以下   f
拉高   nrf
到   v
近   a
6000   m
元   q
/   w
平方米   q
五一   m
黄金周   nr
又   d
卖到   v
6500   m
元   q
/   w
平方米   q
