都说   nr
了   ule
许多   m
技巧   n
更   d
重要   a
的   ude1
是   vshi
也   d
听到   v
看到   v
了   ule
领导   n
的   ude1
某些   rz
密   a
闻   v
领导   n
呢   y
则   d
为了   p
保持   v
自己   rr
的   ude1
秘密   n
对   p
干事   nnt
也   d
另眼相看   nz
这样   rzv
逐渐   d
干事   nnt
也   d
成   v
了   ule
领导   n
的   ude1
圈内人   n
不久   d
也   d
成   v
了   ule
领导   n
因此   c
在   p
学校   nis
里   f
经常   d
看到   v
这样   rzv
的   ude1
现象   n
上课   vi
的   ude1
老师   nnt
累死累活   nz
一辈子   mq
做   v
老师   nnt
不   d
上课   vi
者   k
轻松自如   nz
反而   d
成   v
了   ule
领导   n
真是   d
一   m
种   q
让   v
人   n
啼笑皆非   vl
的   ude1
人事   n
怪现象   nz
另外   c
学校   nis
是   vshi
知识分子   nnd
聚集   v
的   ude1
地方   n
人才济济   vl
不相上下   vl
占据   v
领导   n
位子   n
的   ude1
就   d
那么   c
几   d
个   q
人   n
大多数   m
人   n
只能   v
在   p
平淡   a
与   cc
寂寞   a
中   f
度过   v
自己   rr
的   ude1
工作   vn
生涯   n
虽然   c
也许   d
有   vyou
少数   mq
几   d
个   q
成功   a
人   n
给   p
普通人   n
带来   v
点   qt
理想   n
的   ude1
瑰丽   z
但   c
他   rr
的   ude1
成功   a
的   ude1
条件   n
也   d
不是   c
所有人   n
具备   v
的   ude1
大多数   m
人   n
只能   v
在   p
传统   n
的   ude1
人事制度   nz
下   f
奴隶   nnd
般的   u
工作   vn
生活   vn
着   uzhe
这里   rzs
的   ude1
奴隶   nnd
一方面   c
是   vshi
工作   vn
的   ude1
奴隶   nnd
一方面   c
是   vshi
精神   n
的   ude1
奴隶   nnd
现在   t
的   ude1
老师   nnt
已经   d
对   p
这种   r
丑陋   a
的   ude1
人事制度   nz
淡漠   an
了   ule
即使   c
叹息   vi
也   d
已经   d
麻木   a
成   v
了   ule
一   m
种   q
凝固   vi
的   ude1
悲哀   an
4   m
应试教育   v
夺命   nz
的   ude1
机械   n
游戏   n
在   p
非常   d
实在   d
的   ude1
应试教育   v
制度   n
下   f
不仅仅   d
学生   nnt
是   vshi
受害者   n
老师   nnt
也   d
是   vshi
深   a
其害   nz
的   ude1
应试教育   v
实际上   d
对   p
老师   nnt
是   vshi
一   m
种   q
夺命   nz
的   ude1
机械   n
游戏   n
各级   r
领导   n
要   v
看   v
学校   nis
的   ude1
成绩   n
学生   nnt
的   ude1
学习成绩   nz
高   a
了   ule
一好百好   l
即使   c
你   rr
有   vyou
丑也   nr
可   v
忽略不计   l
一好   d
遮   v
百   m
丑   a
于是   cc
在   p
这样   rzv
的   ude1
大环境   n
下   f
老师   nnt
就   d
有   vyou
了   ule
许多   m
不得不   d
做   v
的   ude1
夺命   nz
游戏   n
题海战术   n
夺取   v
教师   nnt
的   ude1
兴趣   n
之   uzhi
命   n
在   p
题海战术   n
下   f
学生   nnt
在   p
题   n
海里   q
痛苦   an
的   ude1
游弋   vi
老师   nnt
必然   d
在   p
题   n
海里   q
筋疲力尽   al
的   ude1
笔耕   vn
娱乐   vn
啊   y
兴趣   n
啊   y
早   a
已经   d
气息奄奄   i
了   ule
；   w
考试   vn
战术   n
夺取   v
教师   nnt
的   ude1
创新   vi
之   uzhi
命   n
现在   t
学校   nis
的   ude1
考试   vn
名目繁多   vl
期中考试   nz
期末考试   nz
自不必说   dl
现在   t
又   d
多   a
了   ule
个   q
日益   d
被   pbei
人   n
认可   vn
的   ude1
月   n
考据   v
说   v
有的   rz
地方   n
还要   d
有   vyou
计划   n
的   ude1
推出   v
周考   nr
另外   c
还有   v
单元   n
考   v
小节   n
考   v
尖子   n
考   v
等等   udeng
考考   nz
是   vshi
老师   nnt
的   ude1
法宝   n
现在   t
的   ude1
考试   vn
不仅   c
是   vshi
法宝   n
而且   c
是   vshi
督促   v
学生   nnt
学习   v
的   ude1
重要   a
手段   n
了   ule
在   p
考试   vn
战术   n
里   f
老师   nnt
出题   vi
看   v
题   n
头昏脑涨   al
那里   rzs
还   d
研究   vn
什么   ry
创新   vi
教法   n
在   p
考试   vn
面前   f
老师   nnt
没有   v
精力   n
创新   vi
；   w
重点   n
战术   n
夺取   v
老师   nnt
的   ude1
全面   ad
发展   vn
的   ude1
生命   n
现在   t
有   vyou
重点   n
学校   nis
重点   n
班级   n
重点   n
学生   nnt
这些   rz
是   vshi
教师   nnt
将来   t
得   ude3
高分   n
的   ude1
基础   n
然而   c
老师   nnt
的   ude1
成长   vi
主要   b
是   vshi
在   p
教育   vn
后进生   n
中   f
成长   vi
的   ude1
没有   v
在   p
后进生   n
的   ude1
教育   vn
中   f
有所创造   nz
的   ude1
教师   nnt
必然   d
不能   v
全面   ad
发展   vn
的   ude1
教师   nnt
时间   n
战术   n
掠夺   v
教师   nnt
的   ude1
健康   a
之   uzhi
命   n
在   p
应试教育   v
大   a
背景   n
下   f
教师   nnt
被   pbei
逼迫   v
着   uzhe
在   p
时间   n
上   f
大   a
打   v
疲劳战   l
双修   nz
日   b
没有   v
了   ule
假期   t
变瘦   nz
了   ule
教师   nnt
用   p
身体   n
和   cc
时间   n
打仗   vi
教师   nnt
的   ude1
身心健康   n
每况愈下   i
在   p
应试教育   v
面前   f
教师   nnt
无可奈何   vl
在   p
夺命   nz
的   ude1
机械   n
游戏   n
中   f
欲哭无泪   vl
5   m
地位   n
不   d
高   a
高帽子   n
下   f
的   ude1
辛酸   an
我们   rr
的   ude1
社会   n
给   p
教师   nnt
带上   v
了   ule
太多   ad
的   ude1
高帽子   n
什么   ry
人类   n
灵魂   n
的   ude1
工程师   nnt
啊   y
辛勤   ad
的   ude1
园丁   nnt
啊   y
吐丝   v
的   ude1
春蚕   n
啦   y
泪   n
干   v
的   ude1
蜡烛   n
啊   y
等等   udeng
但是   c
这么   rz
多   a
高高的   z
帽子   n
帽子   n
下   f
生活   vn
的   ude1
教师   nnt
状况   n
是不是   v
其乐融融   al
呢   y
先   d
看看   v
是   vshi
如何   ryv
对待   v
人类   n
灵魂   n
的   ude1
工程师   nnt
这个   rz
称号   n
的   ude1
任何   rz
一个   mq
职业   n
群体   n
不   d
可能   v
十全十美   vl
不可避免   vl
的   ude1
有   vyou
一些   m
小丑   n
出现   v
但是   c
我们   rr
只要   c
严格   ad
处罚   vn
就是   v
了   ule
但   c
对于   p
教师   nnt
群体   n
中   f
出现   v
的   ude1
这类   r
人   n
媒体   n
却   d
要   v
大书   n
特写   n
大棒   n
猛   a
砸   v
很   d
有   vyou
杀鸡   v
给   p
猴   ng
看   v
的   ude1
味道   n
这时   rzt
人类   n
灵魂   n
工程师   nnt
的   ude1
美誉   n
已经   d
完全   ad
被   pbei
这   rzv
几   d
个   q
跳梁小丑   nz
抹杀   v
了   ule
高帽子   n
下   f
的   ude1
老师   nnt
只   d
剩下   v
哭泣   vi
；   w
辛勤   ad
的   ude1
园丁   nnt
多么   d
好   a
的   ude1
称谓   n
但   c
这   rzv
好   a
的   ude1
背后   f
却是   d
汗水   n
和   cc
泪水   n
老师   nnt
做   v
着   uzhe
社会   n
上   f
最   d
基础   n
培育   v
人才   n
的   ude1
工作   vn
但   c
待遇   n
却   d
不   d
好说   a
即使   c
这样   rzv
还要   d
拖欠   v
无怪乎   d
人们   n
不   d
愿意   v
做   v
老师   nnt
谁   ry
愿意   v
做   v
付出   v
辛苦   a
而   cc
报酬   n
很少   ad
的   ude1
工作   vn
啊   y
；   w
吐丝   v
的   ude1
春蚕   n
和   cc
泪   n
干   v
的   ude1
蜡烛   n
实在   d
可怜   v
吐丝   v
者   k
为   p
人类   n
做出   v
了   ule
精美   a
的   ude1
贡献   n
最后   f
却   d
死   v
了   ule
这   rzv
就是   v
老师   nnt
的   ude1
命运   n
蜡烛   n
为   p
人们   n
贡献   n
了   ule
光明   ntc
自己   rr
却   d
流泪   vi
一生   n
这   rzv
就是   v
老师   nnt
的   ude1
前途   n
难道   d
老师   nnt
就   d
不能   v
要求   n
得到   v
回报   vn
吗   y
暂且   d
摘下   v
这些   rz
美丽   a
的   ude1
高帽子   n
吧   y
教师   nnt
是   vshi
一个   mq
普通   a
的   ude1
人   n
请   v
不要   d
拿   v
少数   mq
人   n
的   ude1
理想   n
任务   n
去   vf
衡量   v
大多数   m
人   n
因为   c
任何   rz
一个   mq
事业   n
不是   c
少数   mq
几   d
个人   n
支撑   v
起来   vf
的   ude1
他   rr
还   d
需要   v
普通   a
的   ude1
人   n
共同   d
支撑   v
否则   c
高帽子   n
下面   f
就是   v
一   m
把   pba
辛酸   an
之   uzhi
泪   n
6   m
工作   vn
繁重   a
不能   v
说出   v
的   ude1
辛苦   a
常听   nr
有人   r
说   v
老师   nnt
有   vyou
什么   ry
不   d
就是   v
那么   c
几节课   n
每年   t
有   vyou
两   m
个   q
大   a
假期   t
多么   d
清闲   a
啊   y
其实   d
这   rzv
恰恰   d
是   vshi
他们   rr
对   p
老师   nnt
工作   vn
的   ude1
不   d
理解   v
他们   rr
不   d
懂得   v
几节课   n
的   ude1
背后   f
需要   v
超出   v
几节课   n
几倍   nz
的   ude1
备课   vi
需要   v
超出   v
几节课   n
几倍   nz
的   ude1
看   v
作业   vn
需要   v
超出   v
几节课   n
几倍   nz
的   ude1
时间   n
研究   vn
学生   nnt
老师   nnt
手上   s
的   ude1
工作   vn
可以   v
停止   v
老师   nnt
心上   s
的   ude1
工作   vn
是   vshi
没有   v
时间   n
限制   vn
的   ude1
还有   v
一些   m
教育   vn
人士   n
说   v
人家   n
外国   n
教师   nnt
的   ude1
工作量   n
要   v
比   p
中国   ns
教师   nnt
大多   d
了   ule
但   c
他们   rr
却   d
忘了   v
人家   n
外国   n
实施   v
的   ude1
是   vshi
素质教育   nz
而   cc
我们   rr
中国   ns
却   d
实行   v
的   ude1
是   vshi
应试教育   v
应试教育   v
无论   c
对   p
老师   nnt
和   cc
学生   nnt
都   d
是   vshi
一个   mq
沉重   a
的   ude1
包袱   n
老师   nnt
工作   vn
的   ude1
繁重   a
体现   v
在   p
三   m
个   q
方面   n
一   m
是   vshi
繁重   a
的   ude1
作业   vn
中小学   n
在   p
应试教育   v
的   ude1
重压   n
下   f
大多数   m
都   d
在   p
搞   v
大量   m
的   ude1
机械   n
作业   vn
领导   n
逼着   v
留   v
作业   vn
家长   n
逼着   v
看   v
作业   vn
老师   nnt
两头   n
受气   a
的   ude1
在   p
批改作业   l
里   f
非常   d
疲劳   an
二   m
是   vshi
名目繁多   vl
的   ude1
考试   vn
因为   c
现在   t
的   ude1
考试   vn
是   vshi
体现   v
教师   nnt
工作   vn
价值   n
的   ude1
唯一   b
办法   n
因此   c
加强   v
管理   vn
在   p
某种程度   nz
上   f
说   v
就是   v
加强   v
考试   vn
于是   cc
各种   rz
花样繁多   l
的   ude1
考试   vn
粉墨登场   vl
考试   vn
的   ude1
过程   n
实际上   d
就是   v
老师   nnt
繁重   a
工作   vn
的   ude1
过程   n
出题   vi
监场   nz
看   v
卷   q
着实   d
忙   v
三   m
是   vshi
复杂   a
的   ude1
学生   nnt
问题   n
现在   t
社会   n
对   p
教师   nnt
的   ude1
要求   n
高   a
家长   n
对孩子   nz
的   ude1
期望   vn
高而   nr
孩子   n
的   ude1
思想   n
十分复杂   nz
这   rzv
就   d
给   p
老师   nnt
的   ude1
工作   vn
带来   v
了   ule
太多   ad
的   ude1
艰难   a
面对   v
社会   n
众多   a
因素   n
造成   v
的   ude1
问题   n
学生   nnt
要求   n
老师   nnt
一个   mq
解决   v
老师   nnt
搜肠刮肚   nz
心里   s
劳累   a
不言而喻   vl
老师   nnt
工作   vn
的   ude1
繁重   a
更多   ad
的   ude1
是   vshi
体现   v
在   p
下课后   nz
心理   n
的   ude1
沉重负担   nz
上   f
这种   r
工作   vn
的   ude1
无形   b
延续   v
让   v
老师   nnt
全天   n
侯   ng
工作   vn
这   rzv
是   vshi
其他   rzv
任何   rz
一个   mq
职业   n
所   usuo
不具备   v
的   ude1
这种   r
工作   vn
看不见   v
摸不着   l
但   c
自己   rr
又   d
说不得   v
因为   c
你   rr
一   m
说   v
累   a
就   d
会   v
有   vyou
许多人   nz
反驳   v
农民   nnt
会   v
说   v
你   rr
能比   v
我们   rr
挖土   n
挥汗   v
辛苦   a
工人   nnt
会   v
说   v
你   rr
能比   v
我们   rr
机器   n
隆隆   o
辛苦   a
商人   nnt
会   v
说   v
你   rr
能比   v
我们   rr
风险   n
奔波   vi
辛苦   a
有   vyou
苦   a
不能   v
说   v
只能   v
埋   v
在   p
心中   s
7   m
事业   n
前途   n
平淡   a
中的   v
无奈   d
可以   v
说   v
每个   mq
刚刚   d
走上   v
讲台   n
的   ude1
教师   nnt
都   d
曾经   d
有   vyou
一番   mq
壮志   n
宏图   n
有的   rz
想   v
通过   p
自己   rr
的   ude1
努力   ad
成为   v
学校   nis
的   ude1
领导   n
有的   rz
想   v
通过   p
自己   rr
的   ude1
拼搏   vi
成为   v
一代   n
名师   nnt
但   c
随着   p
时间   n
的   ude1
推移   vn
岁月   n
的   ude1
流失   vn
工作   vn
的   ude1
打磨   v
许多人   nz
的   ude1
棱角   n
光滑   a
了   ule
雄心   n
没有   v
了   ule
壮志   n
消失   vi
了   ule
更多   ad
的   ude1
是   vshi
对   p
事业   n
前途   n
失去   v
了   ule
信心   n
在   p
平淡   a
之中   f
无奈   d
的   ude1
工作   vn
着   uzhe
因为   c
他们   rr
发现   v
原来   d
现实   n
和   cc
自己   rr
的   ude1
理想   n
差距   n
如此   rzv
遥远   a
在   p
学校   nis
里   f
并非   v
你   rr
的   ude1
业务水平   nz
高就   v
能   v
走上   v
领导岗位   n
于是   cc
这些   rz
人   n
有的   rz
向   p
社会   n
投降   v
了   ule
成   v
了   ule
自己   rr
曾经   d
厌恶   v
的   ude1
人   n
更多   ad
的   ude1
是   vshi
变   v
的   ude1
冷漠   a
甚至于   d
消极   a
反抗   v
了   ule
他们   rr
发现   v
现实   n
和   cc
自己   rr
的   ude1
教育   vn
之   uzhi
梦   n
距离   n
太大   d
了   ule
必须   d
在   p
应试教育   v
的   ude1
怪圈   n
中   f
旋转   vi
否则   c
就   d
会   v
遭受   v
领导   n
的   ude1
批评   vn
家长   n
的   ude1
指责   v
最好   d
收起   v
你   rr
那   rzv
一   m
套   q
教育   vn
的   ude1
乌托邦   nz
回到   v
可怜   v
的   ude1
现实   n
中   f
为了   p
生存   vi
麻木   a
而   cc
机械   n
的   ude1
重复   vd
前人   n
的   ude1
劳碌   vi
于是   cc
现实   n
和   cc
理想   n
的   ude1
矛盾   an
掩藏   v
了   ule
只是   d
如此   rzv
的   ude1
工作   vn
着   uzhe
当然   d
也   d
有   vyou
少数   mq
辉煌灿烂   z
的   ude1
人物   n
但   c
他们   rr
的   ude1
机遇   n
他们   rr
的   ude1
环境   n
并   cc
不是   c
每个   mq
人   n
都   d
能   v
遇到   v
的   ude1
而且   c
我   rr
也   d
一向   d
认为   v
不用   d
那   rzv
少数   mq
人   n
成功   a
的   ude1
例子   n
去   vf
衡量   v
我们   rr
这些   rz
普通人   n
我们   rr
不   d
需要   v
那   rzv
这些   rz
特殊   a
的   ude1
例子   n
来   vf
要求   n
我们   rr
我们   rr
想   v
说   v
的   ude1
是   vshi
我们   rr
的   ude1
教育   vn
机制   n
教育   vn
氛围   n
应该   v
引起   v
我们   rr
的   ude1
反思   vn
为什么   ryv
要   v
让   v
我们   rr
教师   nnt
如此   rzv
无奈   d
的   ude1
在   p
平淡   a
中   f
工作   vn
难道   d
我们   rr
不   d
需要   v
激情   n
烈火   n
的   ude1
点燃   v
吗   y
我们   rr
不   d
愿意   v
在   p
平淡   a
中   f
无奈   d
的   ude1
工作   vn
我们   rr
同样   d
需要   v
阳光灿烂   i
生机勃勃   vl
我们   rr
不   d
愿意   v
在   p
灰色   n
中   f
流泪   vi
生活   vn
8   m
社会   n
关系   n
善良   a
者   k
的   ude1
烦恼   an
在   p
现代   ntc
这个   rz
特殊   a
的   ude1
社会   n
里   f
人际关系   n
决定   v
着   uzhe
一个   mq
人   n
的   ude1
命运   n
前途   n
以及   cc
幸福生活   nz
而   cc
作为   p
很少   ad
和   cc
外界   n
打交道   vi
的   ude1
教师   nnt
则   d
只能   v
在   p
关系网   n
中   f
望洋兴叹   vl
了   ule
其实   d
兴叹   vi
到   v
也   d
无所谓   vl
主要   b
是   vshi
一   m
遇到   v
麻烦事   n
则   d
真的   d
让   v
人   n
烦恼   an
的   ude1
怒火中烧   nz
比如说   vl
你   rr
要   v
去   vf
办   v
点   qt
事情   n
如果   c
让   v
人家   n
知道   v
你   rr
是   vshi
老师   nnt
马上   d
就   d
会   v
遭受   v
白眼   n
和   cc
冷淡   a
而   cc
如果   c
你   rr
慌称   a
自己   rr
是   vshi
某某   r
机关   n
的   ude1
那么   c
马上   d
人家   n
就   d
会   v
对   p
你   rr
另眼相看   nz
这时   rzt
你   rr
会   v
感悟到   n
什么   ry
是   vshi
权势   n
什么   ry
是   vshi
没有   v
地位   n
因此   c
作为   p
老师   nnt
最好   d
是   vshi
无事   v
无病   v
无灾   nz
这样   rzv
万事大吉   vl
自得其乐   vl
然而   c
这种   r
情况   n
似乎   d
不   d
太多   ad
人生   n
难免   v
遇到   v
各种各样   bl
的   ude1
麻烦   an
这时   rzt
你   rr
就   d
不得不   d
硬   a
这   rzv
头皮   n
磨破   nz
脚   n
皮厚   nz
着   uzhe
脸皮   n
说破嘴   l
皮   n
的   ude1
去   vf
跟   p
人家   n
打   v
持久战   n
这时   rzt
你   rr
就   d
会   v
发现   v
学校   nis
里   f
对   p
真善美   n
的   ude1
追求   v
到   v
了   ule
社会上   nz
是   vshi
多么   d
的   ude1
格格不入   vl
这种   r
不入   v
很   d
是   vshi
让   v
老师   nnt
心中   s
感到   v
任务   n
的   ude1
艰巨   a
和   cc
内心   n
的   ude1
烦恼   an
或许   d
有人   r
说   v
还有   v
学生   nnt
吗   y
学生   nnt
也   d
可以   v
给   p
你   rr
帮忙   vi
吗   y
一方面   c
教师   nnt
羞于   v
知识分子   nnd
的   ude1
面子   n
不   d
愿意   v
让   v
学生   nnt
帮忙   vi
另一方面   c
似乎   d
有些   rz
掌握   v
重大   a
关系   n
的   ude1
学生   nnt
也   d
不肯   v
为   p
老师   nnt
帮忙   vi
因为   c
老师   nnt
没有   v
东西   n
给   p
他   rr
吗   y
所以   c
在   p
关系   n
大网   n
面前   f
善良   a
的   ude1
老师   nnt
只有   c
一   m
片   q
烦恼   an
了   ule
