年   qt
亮点   n
问题   n
在   p
于是   nr
去   vf
实习   vn
还是   c
去   vf
上课   vi
这   rzv
让   v
许多   m
低年级   n
大学生   nnt
犯难   vi
有的   rz
实习   vn
单位   n
要求   n
学生   nnt
一   m
周   qt
去   vf
几   d
天   qt
有的   rz
还   d
明确要求   l
在   p
一段时间   nz
内   f
每天   t
工作   vn
这些   rz
大   a
公司   nis
的   ude1
理由   n
是   vshi
蜻蜓点水   vl
难以   d
考查   vn
学生   nnt
素质   n
尽管   c
实习   vn
单位   n
的   ude1
这种   r
要求   n
颇   d
有些   rz
苛刻   a
许多   m
学生   nnt
还是   c
趋之若鹜   vl
尤其   d
对于   p
知名企业   nz
的   ude1
实习   vn
岗位   n
更是   d
你争我夺   vl
一旦   d
与   cc
上课   vi
时间   n
冲突   vn
他们   rr
就   d
千方百计   dl
地   ude2
请假   vi
甚至   d
一   m
逃   v
了之   l
二   m
年级   n
研究生   nnt
的   ude1
小   a
王在   nr
一家   n
著名   a
IT   nx
企业   n
实习   vn
每周   t
要   v
去   vf
三   m
天   qt
每天   t
早晨   t
七   m
时   qt
出发   vi
晚上   t
七   m
时   qt
回校   n
他   rr
坦言   v
这   rzv
一阵   mq
在   p
学校   nis
学习   v
钻研   v
的   ude1
时间   n
远远   d
比不上   vl
在   p
公司   nis
里   f
待   vi
的   ude1
时间   n
多   a
在   p
报社   nis
实习   vn
的   ude1
本科生   nnt
小杨   nz
家住   v
上海   ns
为了   p
一心一意   dl
安心   a
实习   vn
她   rr
在   p
新学期   nz
伊始   vi
就   d
办理   v
了   ule
退   v
宿   vg
手续   n
当起   s
了   ule
在家   vi
和   cc
报社   nis
间   f
两   m
点   qt
一线   n
的   ude1
不入   v
校   ng
一   m
族   ng
就业   vn
压力   n
引发   v
恐慌症   nz
这   rzv
是   vshi
一   m
组   n
逐年   d
上升   vi
的   ude1
高校   n
毕业生   n
数字   n
2001   m
年   qt
115   m
万   m
；   w
2002   m
年   qt
145   m
万   m
；   w
2003   m
年   qt
212   m
万   m
；   w
2004   m
年   qt
280   m
万   m
；   w
2005   m
年   qt
340   m
万   m
与   cc
数字   n
相伴   vi
的   ude1
是   vshi
高校   n
毕业生   n
潮水般   l
涌入   v
就业   vn
市场   n
的   ude1
景象   n
大学生   nnt
已经   d
切身   b
感受到   nz
就业   vn
恐慌   an
近日   t
国内   s
一   m
项   q
针对   p
大学生   nnt
就业   vn
心理压力   v
的   ude1
调查结果   n
显示   v
92.94   m
％   w
的   ude1
大学生   nnt
感到   v
就业   vn
压力   n
77.5   m
％   w
的   ude1
学生   nnt
认为   v
在   p
求职   vn
期间   f
有   vyou
比较   d
大   a
的   ude1
心理压力   v
压力   n
之下   f
大学生   nnt
的   ude1
提前   vd
备战   vi
成   v
了   ule
大势所趋   n
这   rzv
让   v
许多   m
大学生   nnt
发出   v
了   ule
无奈   d
慨叹   v
进   vf
大学   nis
后   f
几乎   d
没   d
缺   v
过   uguo
什么   ry
课   n
的   ude1
小李   nz
如今   t
面对现实   nz
问题   n
也   d
不得不   d
加入   v
逃课   vi
者   k
行列   n
当   p
实习   vn
和   cc
招聘会   n
成为   v
大学生   nnt
主旋律   n
时   qt
事关   v
将来   t
的   ude1
饭碗   n
上课   vi
就   d
只好   d
让   v
了   ule
道   qv
高校   n
教学   vn
忧   ng
声   qv
起   vf
面对   v
就业   vn
挑战   vn
学业   n
的   ude1
境况   n
不少   mq
高校教师   nnd
忧心忡忡   vl
大学生   nnt
因为   c
找   v
工作   vn
而   cc
影响   vn
上课   vi
和   cc
写   v
论文   n
这种   r
情况   n
现在   t
是   vshi
越来越   d
严重   a
了   ule
实在   d
令人担忧   al
华东师大   nt
高等教育   n
研究所   nis
的   ude1
戚业国   nr
教授   nnt
分析   vn
说   v
学生   nnt
纷纷   d
翘课   nz
应付   v
实习   vn
或   c
求职   vn
有   vyou
可以   v
理解   v
的   ude1
苦衷   n
毕竟   d
毕业生   n
就业   vn
越来越   d
难   a
而且   c
不少   mq
毕业生   n
常常   d
谋求   v
跨专业   nz
就业   vn
这   rzv
也   d
使   v
一些   m
专业   n
课   n
的   ude1
价值   n
在   p
一些   m
学生   nnt
心里   s
降低   v
了   ule
但   c
他   rr
同时   c
强调   v
大学   nis
四   m
年   qt
是   vshi
设计   vn
完整   a
的   ude1
培养   v
系统   n
学生   nnt
缺课   v
甚至   d
雇人   v
上课   vi
不仅   c
打乱   v
了   ule
教学秩序   nz
也   d
不利于   v
学生   nnt
高质量   nz
地   ude2
完成   v
大学   nis
的   ude1
通识   nz
教育   vn
复旦   nz
负责   v
就业   vn
工作   vn
的   ude1
老师   nnt
指出   v
学生   nnt
的   ude1
首要任务   nz
是   vshi
学习   v
人生   n
就   d
这么   rz
几   d
年   qt
可以   v
集中   v
时间   n
和   cc
精力   n
积累   v
知识   n
不应   v
轻易   d
放弃   v
但   c
仅仅   d
要求   n
学生   nnt
安心   a
读书   vi
看来   v
也   d
难   a
为此   bl
一些   m
教育界   n
人士   n
和   cc
企业   n
人事主管   nz
建议   n
高校   n
要   v
在   p
学分制   n
改革   vn
上下   f
工夫   n
课程   n
应该   v
更   d
有   vyou
弹性   n
让   v
学生   nnt
能够   v
比较   d
自由   a
地   ude2
选择   v
上课   vi
时间   n
以便   d
缓解   v
实习   vn
和   cc
学习   v
之间   f
的   ude1
矛盾   an
此外   c
企业   n
在   p
学生   nnt
实习   vn
时间   n
的   ude1
安排   v
上   f
应当   v
更多   ad
地   ude2
利用   v
假期   t
与   cc
学期   n
错开   v
避免   v
对   p
大学生   nnt
学业   n
造成   v
冲击   vn
新华社   nt
专稿   n
大连   ns
人才   n
招聘会   n
上   f
相邻   vi
两   m
家   q
招聘   vn
企业   n
吸引   v
的   ude1
应聘者   n
多寡   n
不均   a
新华社   nt
发   v
年   qt
一过   c
完   vi
各地   rzs
大大小小   z
的   ude1
招聘会   n
闪亮   v
登场   vi
了   ule
在   p
成千上万   vl
的   ude1
应聘者   n
中   f
人数   n
最多   ad
的当   a
是   vshi
那些   rz
应届   b
毕业   v
的   ude1
大学生   nnt
们   k
与此同时   c
高校   n
陆续   d
开学   vi
临近   v
毕业   v
的   ude1
学子   n
们   k
再也   d
坐不住   v
了   ule
张望   v
不少   mq
高年级   n
教室   n
稀稀拉拉   z
没   d
几   d
个   q
人   n
大学   nis
生活   vn
的   ude1
主旋律   n
学业   n
渐渐   d
被   pbei
就业   vn
两   m
个   q
字   n
取代   v
是   vshi
抓紧时间   l
找   v
工作   vn
还是   c
按部就班   vl
上课   vi
学   v
知识   n
这个   rz
问题   n
越来越   d
成为   v
一道   d
令人   v
忧心   n
的   ude1
高校   n
难题   n
功利   n
驱使   v
下   f
的   ude1
曲线   n
就业   vn
在校   b
女生   n
频   ag
现   tg
婚介所   n
岁末年初   nz
当   p
大   a
部分   n
高校   n
毕业生   n
拿着   vf
个人简历   nz
奔走   vi
于   p
大大小小   z
招聘会   n
时   qt
也   d
有   vyou
一些   m
女   b
大学生   nnt
悄悄地   z
走进   v
了   ule
婚介所   n
希望   v
通过   p
婚介所   n
找到   v
一   m
位   q
成功人士   nz
定下   v
终身大事   n
近期   t
来   vf
高校   n
急   v
嫁   v
族   ng
呈   v
日益壮大   ns
之   uzhi
势   ng
婚介所   n
投其所好   vl
将   d
征婚   vn
广告贴   nz
进   vf
很多   m
高校   n
海   n
报栏   n
在   p
女   b
大学生   nnt
登记   vn
的   ude1
材料   n
里   f
大多   d
有   vyou
这样   rzv
的   ude1
字眼   n
本科   n
以上   f
月   n
收入   n
不   d
低于   v
5000   m
元   q
有   vyou
房子   n
事业有成   n
的   ude1
成功   a
男士   n
年龄   n
一般   ad
要求   n
对   p
方长   nr
自己   rr
3   m
岁   qt
以上   f
记者   nnt
采访   v
发现   v
以前   f
只   d
在   p
社会上   nz
流传   v
的   ude1
嫁   v
个   q
好   a
老公   n
少   a
奋斗   vi
20   m
年   qt
嫁   v
个   q
有钱人   nz
等   udeng
口号   n
现在   t
已   d
成为   v
一些   m
女   b
大学生   nnt
的   ude1
共识   n
一些   m
用人单位   nz
的   ude1
性别歧视   nz
让   v
部分   n
女   b
大学生   nnt
变得   vi
更为   d
现实   n
大学校园   nz
里   f
甚至   d
流行   v
着   uzhe
男   b
靠   v
家   q
女   b
靠   v
嫁   v
的   ude1
说法   n
一些   m
即将   d
毕业   v
的   ude1
女   b
大学生   nnt
甚至   d
将   d
婚姻   n
视为   v
就业   vn
的   ude1
一   m
条   q
捷径   n
戏称   v
为   p
曲线   n
就业   vn
合肥市   ns
爱   v
之   uzhi
桥   n
婚介   n
中心   nis
负责人   nnt
介绍   v
近两年   qt
大学生   nnt
征婚   vn
人数   n
不断   d
增加   v
其中   rz
90   m
％   w
以上   f
是   vshi
女性   n
70   m
％   w
来自   v
外地   s
从   p
年级   n
来   vf
分   qt
绝大多数   mq
是   vshi
本科   n
应届   b
毕业生   n
安徽   ns
某   rz
高校   n
大   a
四   m
女生   n
朱某   nr
近日   t
频繁   a
出现   v
在   p
市中心   s
的   ude1
一家   n
婚介所   n
在   p
同学们   nz
费心   a
找   v
工作   vn
争取   v
留在   v
省会   n
的   ude1
时候   n
她   rr
却   d
希望   v
通过   p
婚介   n
找   v
一个   mq
有   vyou
一定   b
经济   n
能力   n
在   p
合肥   ns
工作   vn
的   ude1
老公   n
从而   c
毕业   v
后   f
能留   v
在   p
合肥   ns
用   p
她   rr
的   ude1
话说   vn
这样   rzv
既   c
解决   v
了   ule
今后   t
的   ude1
住房问题   nz
也   d
能   v
利用   v
他   rr
在   p
当地   s
的   ude1
社会   n
关系网   n
扩大   v
就业机会   nz
在   p
3   m
年前   t
合肥学院   ntu
同宿舍   nz
的   ude1
3   m
名   q
数学系   nit
女生   n
一同   d
将   d
自己   rr
的   ude1
玉照   n
公开   ad
在   p
报纸   n
上   f
寻觅   v
硕士   nnt
以上学历   nz
的   ude1
男友   n
其中   rz
幸运   a
的   ude1
小丽   nr
找到   v
了   ule
自己   rr
的   ude1
如意郎君   nz
——   w
中国科技大学   ntu
博士   nnt
现在   t
在   p
新加坡   nsf
从事   vi
科研工作   nnt
小丽   nr
因此   c
成为   v
学妹   n
们   k
羡慕   v
的   ude1
对象   n
安徽省社科院   nt
社会学所   n
所长   nnt
王开玉   nr
认为   v
这种   r
现象   n
是   vshi
当代   t
大学生   nnt
焦躁   a
心态   n
的   ude1
表现   v
很多   m
案例   n
说明   v
如果   c
女性   n
把   pba
自己   rr
全部   m
的   ude1
希望   v
寄托   v
在   p
婚姻   n
上   f
失去   v
自我   rr
独立   a
人格   n
很难   d
有   vyou
幸福   a
的   ude1
结果   n
从   p
整个   b
社会   n
的   ude1
角度看   v
这种   r
现象   n
反映   v
了   ule
女生   n
就业   vn
压力   n
大   a
的   ude1
现实   n
新华社   nt
稿   ng
大学生   nnt
就业难   nz
在   p
哪里   rys
无论   c
从   p
哪个   ry
角度   n
分析   vn
中国   ns
都   d
不是   c
一个   mq
大学生   nnt
过剩   vi
的   ude1
国家   n
然而   c
大学生   nnt
就业难   nz
问题   n
却   d
不可   v
争议   vn
地   ude2
成为   v
社会   n
关注   v
的   ude1
焦点   n
自己   rr
的   ude1
孩子   n
大学毕业   v
却   d
待业   vn
在家   vi
令   v
那些   rz
花费   v
了   ule
大半辈子   nz
心血   n
培养   v
孩子   n
的   ude1
家长   n
们   k
看在眼里   l
急   v
在   p
心里   s
他们   rr
弄   v
不   d
明白   v
过去   vf
的   ude1
大学生   nnt
可是   c
人见人爱   nz
的   ude1
香饽饽   nz
可   v
如今   t
十几   mq
年   qt
十   m
多   a
万元   q
培养出来   v
的   ude1
大学生   nnt
咋   ryv
刚   d
毕业   v
就   d
待业   vn
了   ule
中国   ns
人才交流   i
协会   nis
副   b
秘书长   nnt
沈阳市   ns
人才   n
中心   nis
主任   nnt
孟庆伟   nr
分析   vn
就业难   nz
一方面   c
是   vshi
人才   n
供求   n
和   cc
知识结构   gi
双双   q
失衡   vi
另一方面   c
是   vshi
大学生   nnt
自身   rr
的   ude1
就业   vn
通病   n
一   m
是   vshi
高校   n
专业   n
设置   v
与   cc
快速   d
变化   vn
的   ude1
市场需求   nz
错位   vi
调查   vn
中   f
发现   v
沈阳   ns
1990   m
年   qt
至   p
2004   m
年   qt
淘汰   v
了   ule
30   m
个   q
职业   n
又   d
新生   n
了   ule
60   m
个   q
职业   n
四   m
年前   t
还是   c
社会   n
需求   n
的   ude1
热门   a
职业   n
四   m
年   qt
后   f
变成   v
了   ule
滞销   vi
专业   n
供给   vn
与   cc
需求   n
错位   vi
在   p
一定   b
程度   n
上   f
造成了   v
大学生   nnt
就业难   nz
二   m
是   vshi
职场   n
经验   n
准入   vn
门槛   n
过   uguo
高   a
往往   d
要求   n
求职者   n
具有   v
一定   b
（   w
往往   d
是   vshi
2   m
年   qt
－   w
3   m
年   qt
）   w
的   ude1
工作   vn
经验   n
这   rzv
对   p
广大   b
应届   b
毕业生   n
而言   uls
是   vshi
个   q
难题   n
也   d
是   vshi
高校   n
毕业生   n
就业难   nz
的   ude1
主要   b
原因   n
之一   rz
三   m
是   vshi
学生   nnt
期望值   n
与   cc
社会   n
需要   v
存在   v
较大   d
差距   n
调查   vn
显示   v
未   d
签约   vi
者   k
中   f
超过   v
80   m
％   w
属于   v
因   p
期望值   n
过   uguo
高而未   nr
签   v
尽管   c
各种   rz
就业指导   nz
课   n
不断   d
向   p
毕业生   n
传送   v
降低   v
期望值   n
的   ude1
信息   n
实际   n
调查   vn
证明   v
没有   v
多少   ry
人   n
真正   d
听   v
进去   vf
中国青年政治学院   ntu
青年   n
发展研究所   nt
一   m
位   q
专家   nnt
认为   v
社会   n
给   p
大学生   nnt
提供   v
的   ude1
工作   vn
机会   n
相对   d
不足   an
固然   c
是   vshi
造成   v
大学生   nnt
待业   vn
的   ude1
一个   mq
重要   a
原因   n
但   c
许多   m
大学生   nnt
宁可   d
待业   vn
也   d
不   d
从事   vi
不   d
理想   n
工作   vn
也许   d
是   vshi
更   d
重要   a
的   ude1
原因   n
此外   c
部分   n
大学生   nnt
依赖性   n
强   a
创造   v
力弱   nz
表现   v
在   p
考大学   nz
靠   v
压   v
（   w
家长   n
监督   vn
学习   v
）   w
；   w
报   n
自愿   vd
靠   v
拍   v
（   w
家长   n
定   v
）   w
；   w
上   f
大学   nis
靠   v
供   vi
（   w
家长   n
投资   vn
）   w
；   w
找   v
工作   vn
靠   v
关系   n
（   w
家长   n
运作   vn
）   w
；   w
选择   v
职业   n
靠   v
感觉   n
（   w
没有   v
科学   n
的   ude1
分析   vn
家长   n
凭经验   nz
）   w
经常   d
可以   v
看到   v
人才市场   nis
找   v
工作   vn
的   ude1
大学生   nnt
后面   f
经常   d
有   vyou
家长   n
陪伴   v
与   cc
用人单位   nz
谈话   vn
家长   n
急于   v
先   d
介绍   v
这种   r
长期以来   dl
养成   v
的   ude1
依赖性   n
严重影响   v
了   ule
大学生   nnt
就业   vn
意向   n
成交率   nz
编辑   nnt
苏琳   nr
