赵鹏   nr
是   vshi
二战   n
以来   f
最多   ad
的   ude1
华尔街   nsf
今年   t
发红包   nz
发疯   vi
了   ule
去年   t
年底   f
的   ude1
时候   n
我   rr
想   v
这   rzv
是   vshi
一个   mq
企业   n
行业   n
发展   vn
与   cc
它   rr
的   ude1
员工   n
特别   d
是   vshi
核心   n
人才   n
个人   n
价值   n
实现   v
之间   f
的   ude1
一个   mq
分享   v
和   cc
平衡   a
问题   n
我   rr
想   v
这   rzv
在   p
尺度   n
更大   d
的   ude1
一个   mq
范畴   n
里   f
看   v
这   rzv
件   q
事情   n
至少   d
是   vshi
有意思   al
的   ude1
还有   v
一个   mq
可以   v
分享   v
的   ude1
观点   n
也   d
是   vshi
我   rr
看到   v
的   ude1
一个   mq
材料   n
其实   d
我们   rr
国家   n
的   ude1
企业   n
薪酬   n
水平   n
相比   vi
来说   uls
是   vshi
比较   d
低   a
的   ude1
这个   rz
低   a
不光   c
是   vshi
跟   p
发达国家   n
的   ude1
横向   n
比较   d
而是   c
相对   d
的   ude1
差距   n
比较   d
大   a
大家   rr
可能   v
都会   n
有   vyou
这样   rzv
的   ude1
认识   v
这   rzv
是   vshi
一个   mq
结构   n
问题   n
比方说   l
拉大   j
了   ule
差距   n
在   p
市场   n
上   f
那   rzv
一   m
批   q
供不应求   vl
的   ude1
替代   v
成本   n
非常   d
高   a
贡献率   n
很大   d
的   ude1
像   v
我们   rr
今天   t
节目   n
要   v
探讨   v
的   ude1
这   rzv
部分   n
人才   n
他们   rr
的   ude1
薪酬   n
相对于   nz
他们   rr
的   ude1
职务   n
特点   n
和   cc
责任   n
来说   uls
差距   n
并   cc
没有   v
拉到   v
相当大   nz
我   rr
听过   v
一个   mq
观点   n
核心   n
人才   n
与   cc
这个   rz
企业   n
人才队伍   nz
的   ude1
稳定   an
和   cc
发展   vn
只有   c
这个   rz
核心   n
真正   d
树立   v
起来   vf
了   ule
这个   rz
队伍   n
才能   n
和谐   a
地   ude2
往前走   v
我们   rr
原来   d
请   v
一   m
位   q
专家   nnt
来   vf
谈   v
这个   rz
问题   n
他   rr
比较   d
认同   vn
我们   rr
这个   rz
观点   n
有   vyou
机会   n
一会儿   mq
我们   rr
还   d
可以   v
探讨   v
我   rr
基本   a
的   ude1
看法   n
是   vshi
一个   mq
企业   n
队伍   n
有   vyou
了   ule
真正   d
意义   n
上   f
的   ude1
核心   n
人才   n
才能   n
有   vyou
真正   d
的   ude1
发展   vn
还有   v
一个   mq
观点   n
性   ng
的   ude1
东西   n
实际上   d
传统型   n
的   ude1
薪酬   n
向   p
战略性   n
薪酬   n
的   ude1
转变   v
它   rr
的   ude1
核心   n
问题   n
也   d
是   vshi
在   p
要   v
认识到   v
要   v
强调   v
要   v
浮出水面   v
要   v
渲染   v
要   v
烘托   v
核心   n
人才   n
在   p
企业   n
中的   v
价值   n
作为   p
我们   rr
国家   n
来看   u
从   p
传统   n
薪酬   n
到   v
战略   n
薪酬   n
的   ude1
一个   mq
转变   v
还有   v
路   n
要   v
走   v
而且   c
它   rr
的   ude1
传播   vn
不够   a
刚才   t
说   v
的   ude1
一些   m
观点   n
第一   mq
我   rr
觉得   v
白领   b
人才   n
的   ude1
价值   n
处在   v
一个   mq
持续   vd
的   ude1
提升   v
过程   n
中   f
它   rr
与   cc
我们   rr
国家   n
白领阶层   n
的   ude1
形成   v
是   vshi
一个   mq
同向   d
并轨   vn
的   ude1
过程   n
第二   mq
白领   b
人才   n
价值   n
是   vshi
符合   v
我们   rr
国家   n
传统   n
思路   n
的   ude1
一个   mq
特点   n
瓦解   v
起来   vf
还是   c
很   d
有意思   al
的   ude1
第   mq
三   m
我   rr
觉得   v
研究   vn
白领   b
人才   n
价值   n
特点   n
的   ude1
问题   n
上   f
在   p
今天   t
是   vshi
一个   mq
值得   v
说   v
的   ude1
话题   n
我们   rr
关注   v
的   ude1
是   vshi
人   n
的   ude1
价值   n
第   mq
四中   j
国   n
白领   b
人才   n
的   ude1
研究   vn
还是   c
处在   v
一个   mq
范围内   nz
不管   c
是从   v
我们   rr
的   ude1
工作   vn
看   v
还是   c
从   p
研究   vn
上   f
看   v
都   d
是   vshi
有价值   nz
的   ude1
基于   p
这些   rz
想法   n
我们   rr
将   d
一如既往   vl
全力以赴   vl
地   ude2
与   cc
《   w
绝对   d
挑战   vn
》   w
栏目组   nis
在   p
一起   s
做   v
这个   rz
带有   v
公益性   n
的   ude1
带有   v
先导性   n
的   ude1
事情   n
也   d
是因为   c
这个   rz
原因   n
请到   v
大家   rr
来   vf
共同   d
探讨   v
这个   rz
话题   n
我   rr
前期   f
做   v
了   ule
一些   m
背景   n
调查   vn
在   p
探讨   v
中国   ns
白领   b
产生   v
的   ude1
问题   n
上   f
有些   rz
人   n
是   vshi
做   v
得   ude3
比较   d
早   a
的   ude1
从   p
公益   n
范围   n
的   ude1
角度   n
探讨   v
这个   rz
事情   n
是   vshi
二十   m
多年   mq
以来   f
的   ude1
第一   mq
次   qv
虽然   c
我们   rr
做   v
得人   v
少   a
但   c
我   rr
相信   v
我们   rr
探讨   v
的   ude1
话题   n
和   cc
推动   v
的   ude1
事情   n
有一天   d
会   v
被   pbei
更多   ad
的   ude1
人   n
所   usuo
知道   v
而且   c
认可   vn
的   ude1
谢谢   v
大家   rr
