中学   nis
巡检   nnt
司   ng
负责   v
管辖   v
台湾   ns
和   cc
澎湖   ns
；   w
明末清初   t
郑成功   nr
打败   v
荷兰   nsf
殖民者   nz
收复   v
台湾   ns
；   w
清朝政府   nt
1684   m
年   qt
设置   v
台湾   ns
府   ng
隶属   v
福建省   ns
这样   rzv
这个   rz
问题   n
就   d
一目了然   vl
了   ule
归类   vi
记忆法   nz
好比   v
以   p
线   n
穿珠   nz
能够   v
把   pba
不同   a
时期   n
性质   n
相同   a
的   ude1
历史   n
某   rz
础   ng
知识   n
贯串   v
起来   vf
成为   v
一   m
串串   q
系统   n
的   ude1
知识   n
它   rr
既有   v
利于   v
牢固   a
记忆   n
历史   n
某   rz
础   ng
知识   n
又   d
有利于   v
加深   v
理解   v
历史   n
发展   vn
的   ude1
全貌   n
和   cc
实质   n
三   m
比较   d
记忆法   nz
这种   r
方法   n
适宜   v
记忆   n
那些   rz
历史   n
上   f
经常   d
发生   v
的   ude1
重大   a
历史   n
事件   n
象   ng
农民战争   n
政治   n
改革   vn
不平等条约   nz
等等   udeng
这类   r
历史   n
上   f
经常   d
发生   v
的   ude1
事件   n
彼此之间   nz
或   c
因其   c
性质   n
相同   a
或   c
因其   c
表现形式   n
相似   a
记忆   n
中   f
往往   d
容易   ad
互相   d
混淆   v
比较   d
记忆法   nz
最   d
能克服   n
混淆   v
比较   d
可以   v
明显   a
地   ude2
揭示   v
出   vf
历史   n
事件   n
彼此之间   nz
的   ude1
相同点   n
和   cc
不同点   n
突出   a
它们   rr
各自   rr
的   ude1
特征   n
这   rzv
就   d
便于   v
对   p
它们   rr
加深   v
理解   v
增强   v
记忆   n
但是   c
比较   d
不能   v
简单   a
草率   a
要   v
从   p
各个方面   l
各个   rz
角度   n
去   vf
细心   a
进行   vn
尤其   d
重要   a
的   ude1
是   vshi
注意   v
搜   v
求同   v
中   f
之   uzhi
异   ag
和   cc
异   ag
中   f
之   uzhi
同   p
举   v
个   q
例子   n
拿   v
《   w
南京   ns
条约   n
》   w
和   cc
《   w
天津   ns
条约   n
》   w
来说   uls
两者   rzv
的   ude1
性质   n
都   d
是   vshi
帝国主义   n
侵略者   n
武力   n
强迫   v
清政府   nt
签订   v
的   ude1
出卖   v
中华民族   n
权益   n
的   ude1
不平等条约   nz
；   w
条约   n
的   ude1
主要   b
内容   n
都   d
是   vshi
强迫   v
通商   vn
其中   rz
主要   b
款项   n
之一   rz
都   d
是   vshi
强迫   v
开放   v
通商口岸   nz
这些   rz
是   vshi
同   p
《   w
南京   ns
条约   n
》   w
强迫   v
开   v
五   m
口   n
《   w
天津   ns
条约   n
》   w
强迫   v
开   v
十   m
口   n
这些   rz
口岸   n
很   d
容易   ad
记   v
混   v
但   c
我们   rr
从   p
地理位置   gg
上   f
分析   vn
这些   rz
口岸   n
就   d
会   v
发现   v
《   w
南京   ns
条约   n
》   w
上   f
的   ude1
口岸   n
都   d
在   p
东南   f
沿海   f
而   cc
《   w
天津   ns
条约   n
》   w
上   f
的   ude1
口岸   n
已经   d
延伸   v
到   v
北方   s
和   cc
内地   n
找到   v
了   ule
这个   rz
异   ag
就   d
不   d
易于   vd
混淆   v
了   ule
反过来   d
通商口岸   nz
由   p
南   b
延伸   v
到   v
北   f
由   p
沿海   f
延伸   v
到   v
内地   n
从   p
这个   rz
异   ag
中   f
我们   rr
可以   v
看到   v
帝国主义   n
发动   v
两   m
次   qv
鸦片战争   nz
的   ude1
目的   n
都   d
是   vshi
打开   v
中国   ns
市场   n
这   rzv
又是   c
个   q
同   p
从   p
这里   rzs
还   d
可以   v
进一步   d
认识到   v
第二次鸦片战争   nz
是   vshi
第一次鸦片战争   nz
的   ude1
继续   v
和   cc
扩大   v
由此可见   c
用   p
比较法   n
记忆   n
历史   n
知识   n
既能   b
牢固   a
记忆   n
又   d
能   v
加深   v
理解   v
一举两得   vl
四   m
歌谣   n
记忆法   nz
心理学   n
实验   vn
证明   v
有   vyou
八十   m
个   q
单词   n
的   ude1
歌谣   n
读   v
八   m
遍   qv
即可   v
背诵   v
；   w
而   cc
同样   d
数目   n
的   ude1
意义   n
不连贯   i
的   ude1
单词   n
读   v
八十   m
遍   qv
才能   n
记住   v
为什么   ryv
呢   y
因为   c
歌谣   n
有   vyou
韵律   n
借助于   v
音韵   n
的   ude1
节奏   n
朗朗上口   al
易于   vd
成诵   nz
根据   p
这个   rz
道理   n
我们   rr
将   d
一些   m
历史   n
某   rz
础   ng
知识   n
编成   v
歌谣   n
就   d
便于   v
记忆   n
了   ule
这   rzv
叫   vi
歌谣   n
记忆法   nz
比如   v
中国   ns
古代   t
史上   d
邅   n
变   v
交替   d
连续不断   vl
的   ude1
朝代   n
常常   d
使   v
人   n
感到   v
繁乱   nz
难记   n
编成   v
歌谣   n
夏商周   j
秦西   nr
东汉   t
三国   t
两   m
晋南   ns
北朝   t
；   w
隋唐   t
以下   f
有   vyou
五代   n
宋元   n
明清   t
帝制   n
消   v
这   rzv
就   d
很   d
容易   ad
记   v
了   ule
应当   v
注意   v
的   ude1
是   vshi
编写   v
的   ude1
歌谣   n
形式   n
必须   d
简短   a
齐整   a
；   w
内容   n
必须   d
准确   a
全面   ad
；   w
语言   n
力求   v
生动活泼   nz
五   m
图   n
表   n
记忆法   nz
这种   r
方法   n
的   ude1
特点   n
是   vshi
借助   v
图表   n
加强   v
教学   vn
的   ude1
直观   a
效果   n
调动   v
视觉   n
功能   n
去   vf
启发   vn
想象力   n
达到   v
增强   v
记忆   n
的   ude1
目的   n
图   n
主要   b
指   v
地图   n
；   w
表   n
主要   b
指   v
表格   n
运用   v
地图   n
记忆   n
战争   n
过程   n
效果   n
很好   ad
比如   v
记   v
古   tg
罗马   nsf
斯巴达克   nrf
起义   vi
左书   nr
右图   n
随着   p
奴隶起义   nz
大军   n
活动   vn
的   ude1
空间   n
移动   vn
在   p
地图   n
上标   j
出   vf
活动   vn
的   ude1
路线   n
卡普亚维苏威   nrf
火山   n
美   b
塔   n
邦   ng
多   a
木   ng
提   v
那   rzv
然后   c
再   d
折   vi
到   v
勒   v
佐   vg
突破   v
克拉苏   nrf
防线   n
到   v
布林底   nr
西港   nz
附近   f
决战   vi
这样   rzv
不仅   c
能够   v
清楚   a
地   ude2
看到   v
起义军   n
的   ude1
全部   m
发展   vn
过程   n
而且   c
有助于   v
理解   v
这次   r
起义   vi
纵横驰骋   vl
意大利   nsf
半岛   n
沉重   a
地   ude2
打击   v
了   ule
奴隶主   nnd
阶级   n
的   ude1
伟大   a
历史   n
意义   n
运用   v
表格   n
记忆   n
历史   n
事件   n
一目了然   vl
便于   v
抓住   v
事件   n
的   ude1
特点   n
使   v
印象   n
深化   v
举   v
个   q
例子   n
（   w
略   d
）   w
通过   p
这   rzv
张   q
表格   n
可以   v
清楚   a
看出   v
甲午   mq
中日战争   nz
以后   f
中国   ns
民族   n
资本主义   n
在   p
轻工业   n
方面   n
发展   vn
较快   d
在   p
重工业   n
方面   n
发展   vn
很   d
缓慢   a
而   cc
重工业   n
是   vshi
基础   n
这些   rz
中国   ns
民族   n
资本主义   n
头重脚轻   nz
的   ude1
特点   n
就   d
明显   a
地   ude2
暴露   v
出来   vf
了   ule
很   d
容易   ad
理解   v
记忆   n
上面   f
讲   v
了   ule
几   d
种   q
记忆   n
历史   n
知识   n
的   ude1
方法   n
还有   v
一个   mq
记忆   n
历史   n
年代   n
的   ude1
问题   n
历史   n
年代   n
本身   rz
枯燥乏味   nz
难于   vd
记忆   n
有些   rz
历史   n
年代   n
如   v
封建社会   n
起止   nz
年代   n
只能   v
死记硬背   vl
但   c
也   d
有些   rz
历史   n
年代   n
我们   rr
可以   v
人为   d
地   ude2
给   p
它   rr
制造   vn
联系   v
方便   a
记忆   n
这里   rzs
介绍   v
几   d
种   q
一   m
抓住   v
年代   n
本身   rz
的   ude1
特征   n
记忆   n
比如   v
蒙古   ns
灭   v
金   b
1234   m
年四个   nz
数字   n
按   p
自然数   n
顺序排列   l
马克思   nrf
诞生   vi
1818   m
年   qt
两   m
个   q
18   m
二   m
抓   v
重大事件   nz
间隔   n
距离   n
记忆   n
比如   v
第一次国内革命战争   nz
失败   vi
1927   m
年   qt
抗日战争   nz
爆发   v
1937   m
年   qt
；   w
中国人民解放军   nt
转入   v
反攻   v
1947   m
年   qt
三者   r
相隔   v
都   d
是   vshi
十   m
年   qt
三   m
抓   v
重大   a
历史   n
事件   n
的   ude1
因果关系   gm
记   v
年代   n
比如   v
1917   m
年   qt
十月革命   n
革命   vn
制止   v
战争   n
1918   m
年   qt
第一次世界大战   nz
结果   n
；   w
巴黎和会   nz
拒绝   v
中国   ns
的   ude1
正义   n
要求   n
成为   v
1919   m
年   qt
五四运动   nz
的   ude1
导火线   n
；   w
五四运动   nz
把   pba
新文化运动   nz
推向   v
新阶段   nz
传播   vn
马克思主义   n
成为   v
主流   n
1920   m
年   qt
共产主义   n
小组   nis
出现   v
马克思主义   n
同   p
工人运动   n
相结合   nz
1921   m
年   qt
中国共产党   nt
诞生   vi
记忆力   n
的   ude1
强弱   n
往往   d
随   p
人   n
而   cc
异   ag
记忆   n
不好   a
的   ude1
人   n
大致   d
缺乏   v
对   p
知识   n
的   ude1
学习   v
兴趣   n
缺乏   v
复习   vn
的   ude1
机会   n
缺乏   v
记忆   n
的   ude1
方法   n
增进   v
这   rzv
几   d
个   q
要素   n
就   d
能   v
提高   v
记忆   n
的   ude1
效率   n
有的   rz
教师   nnt
平时   t
不   d
太   d
注意   v
方法论   n
的   ude1
指导   vn
这   rzv
是   vshi
不对   a
的   ude1
历史   n
是   vshi
一   m
门   n
科学   n
而   cc
学习   v
科学   n
的   ude1
人   n
其   rz
方法   n
也   d
必须   d
科学   n
这   rzv
是   vshi
客观   a
的   ude1
要求   n
因此   c
随时   d
告诉   v
学生   nnt
一些   m
记忆   n
历史   n
知识   n
的   ude1
方法   n
也   d
是   vshi
历史   n
教师   nnt
必须   d
尽   vi
到   v
的   ude1
一   m
份   q
责任   n
