本文   r
自己   rr
东西   n
分   qt
一半   mq
给   p
小   a
伙伴们   nz
……   w
做错   nz
了   ule
事情   n
要   v
表示歉意   vn
……   w
要   v
仔细   ad
观察   v
大自然   n
……   w
这   rzv
实际上   d
是   vshi
说   v
对   p
他   rr
走上   v
科学   n
道路   n
产生   v
深刻影响   i
的   ude1
是   vshi
从小   d
受到   v
的   ude1
全面   ad
的   ude1
做人   vi
的   ude1
教育   vn
积极进取   l
奋发向上   vl
百折不挠   vl
的   ude1
人生态度   nz
勇于   v
实践   vn
勤学好问   nz
谦虚   a
诚实   a
的   ude1
个性   n
品质   n
远大   a
的   ude1
理想   n
和   cc
脚踏实地   vl
的   ude1
敬业精神   nz
都   d
有助于   v
创造   v
潜能   n
的   ude1
开发   vn
5   m
培养   v
学生   nnt
创新   vi
的   ude1
兴趣   n
兴趣   n
是   vshi
人   n
的   ude1
精神   n
对   p
特定   b
对象   n
或   c
某种事物   v
的   ude1
喜爱   v
和   cc
趋向   v
是   vshi
人   n
在   p
探索   v
认识   v
某种   rz
对象   n
的   ude1
活动   vn
中   f
产生   v
的   ude1
一   m
种   q
乐趣   n
这种   r
乐趣   n
能够   v
使   v
人们   n
得到   v
极大   a
的   ude1
满足   v
从而   c
促进   v
人们   n
注意力   n
高度集中   nz
达到   v
忘我   b
的   ude1
程度   n
好多   mq
科学家   nnt
从小   d
肯   v
用功   a
放弃   v
了   ule
作为   p
一个   mq
孩子   n
乐于   v
享受   v
的   ude1
游戏   n
玩乐   vn
抓紧   v
一切   rz
时间   n
学习   v
正是   v
因为   c
他   rr
对   p
科学   n
有   vyou
浓厚   a
的   ude1
兴趣   n
从   p
科学研究   nz
本身   rz
感受到   nz
无穷的   z
乐趣   n
和   cc
愉快   a
这   rzv
是   vshi
他人   rr
所   usuo
无法   v
体会   v
到   v
的   ude1
达尔文   nrf
说   v
我   rr
一生   n
主要   b
乐趣   n
和   cc
唯一   b
职务   n
就是   v
科学   n
工作   vn
对于   p
科学   n
工作   vn
的   ude1
热心   a
使   v
我   rr
忘却   v
或者   c
赶走   v
我   rr
的   ude1
不适   a
居里夫人   gc
说   v
科学   n
的   ude1
探讨   v
研究   vn
其   rz
本身   rz
就   d
含有   v
至   p
美   b
其   rz
本身   rz
给   p
人   n
的   ude1
愉快   a
就是   v
报酬   n
所以   c
我   rr
在   p
我   rr
的   ude1
工作   vn
里面   f
寻   v
得   ude3
了   ule
快乐   a
巴甫洛夫   nrf
说   v
感谢   v
科学   n
它   rr
不仅   c
使   v
生活   vn
充满   v
快乐   a
与   cc
欢欣   an
并且   c
给   p
生活   vn
以   p
支柱   n
和   cc
自尊心   n
假如   c
一个   mq
人   n
对   p
科学   n
创造   v
毫无   v
兴趣   n
必然   d
视   vg
学习   v
为   p
畏途   n
不   d
可能   v
有   vyou
如醉如痴   al
废寝忘食   vl
战胜   v
一切   rz
困难   an
的   ude1
精神   n
和   cc
劲头   n
二   m
创新   vi
教育   vn
是   vshi
全程   n
教育   vn
应   v
贯穿   v
于   p
整个   b
教育   vn
过程   n
之中   f
在   p
幼儿教育   n
基础教育   n
阶段   n
显得   v
尤为   d
迫切   ad
重要   a
心理学   n
研究   vn
表明   v
孩子   n
早期   f
培养   v
形成   v
的   ude1
不良习惯   n
如不   c
及时   ad
纠正   v
长大   vi
以后   f
很难   d
改变   v
幼儿教育   n
是   vshi
素质教育   nz
的   ude1
第一   mq
环   n
而且   c
是   vshi
重要一环   i
李岚清   nr
副   b
总理   nnt
曾   d
强调   v
实施   v
全面   ad
素质教育   nz
也   d
包括   v
幼儿教育   n
以   p
创新   vi
为   p
核心   n
的   ude1
素质教育   nz
在   p
幼儿教育   n
阶段   n
的   ude1
重要性   n
及   cc
如何   ryv
实施   v
已经   d
引起   v
党和国家   nz
的   ude1
高度重视   l
幼儿教育   n
关系到   v
贯彻   v
党   n
的   ude1
教育方针   nz
培养   v
德智体美   nz
等   udeng
各   rz
方面   n
全面   ad
发展   vn
的   ude1
建设者   n
和   cc
接班人   n
的   ude1
重大   a
根本   a
问题   n
由于   p
望子成龙   vl
望女成凤   nz
心切   a
恨铁不成钢   nz
的   ude1
心理   n
和   cc
应试教育   v
的   ude1
结果   n
家长   n
和   cc
教师   nnt
过早地   l
用   p
灌输   v
的   ude1
方法   n
让   v
孩子们   nz
读写   gi
算   v
扼杀   v
了   ule
孩子   n
的   ude1
创造力   n
想象力   n
求知   vi
情趣   n
和   cc
探索   v
欲望   n
三   m
教育工作者   nnt
要   v
加强   v
学习   v
提高   v
自身   rr
素质   n
实现   v
教育   vn
观念   n
的   ude1
创新   vi
教育   vn
的   ude1
实施   v
依赖于   v
教育   vn
观念   n
的   ude1
创新   vi
要   v
彻底   ad
摒弃   v
重   a
知识   n
学习   v
轻   a
能力   n
培养   v
；   w
重   a
求同   v
再现   v
轻   a
求异   vn
创新   vi
；   w
重   a
统一   vn
要求   n
轻   a
个性   n
发展   vn
；   w
重机械   n
记忆   n
训练   vn
轻   a
实验   vn
应用   vn
的   ude1
传统   n
作法   n
在   p
师生关系   nz
的   ude1
正确   a
定位   vn
和   cc
好坏   n
学生   nnt
的   ude1
评价   vn
标准   n
的   ude1
正确   a
定位   vn
上   f
我们   rr
尤其   d
需要   v
更新   v
观念   n
1   m
建立   v
新型   b
的   ude1
师生关系   nz
营造   v
良好   a
的   ude1
创造   v
氛围   n
在   p
创造   v
教育   vn
活动   vn
中   f
学生   nnt
是   vshi
主体   n
教师   nnt
是   vshi
主导   n
教师   nnt
的   ude1
主导作用   nz
主要   b
体现   v
在   p
课程   n
教学   vn
设计   vn
上   f
而   cc
不是   c
在   p
课堂   n
上   f
控制   vn
学生   nnt
要   v
做   v
学生   nnt
的   ude1
朋友   n
尊重   v
每   rz
一   m
位   q
学生   nnt
做到   v
因材施教   vl
教学相长   i
；   w
要   v
为人师表   vl
有   vyou
创新   vi
意识   n
和   cc
实践   vn
能力   n
不能   v
仅   d
满足   v
于   p
学生   nnt
继承   v
知识   n
而   cc
应   v
使   v
学生   nnt
学会   v
创造   v
；   w
要   v
有   vyou
诚实   a
正直   a
平等待人   nz
善于   v
与   cc
学生   nnt
沟通   v
的   ude1
职业   n
人格   n
品质   n
2   m
正确   a
定位   vn
好   a
坏   a
学生   nnt
的   ude1
评价   vn
标准   n
按照   p
传统   n
教育   vn
观念   n
对   p
老师   nnt
的话   udh
言听计从   nz
循规蹈矩   n
不敢   d
越   d
雷池   n
半步   nz
的   ude1
学生   nnt
被   pbei
视为   v
好   a
学生   nnt
；   w
相反   vi
不   d
服从   v
教导   vn
破坏   v
财物   n
好动   a
不负责任   l
粗心大意   vl
的   ude1
学生   nnt
往往   d
被   pbei
视为   v
坏   a
学生   nnt
从   p
心理学   n
角度   n
分析   vn
所谓   v
的   ude1
坏   a
学生   nnt
之   uzhi
所   usuo
产生   v
品行   n
方面   n
的   ude1
问题   n
首先   d
是   vshi
由   p
其   rz
心理   n
年龄   n
特点   n
决定   v
的   ude1
在   p
青少年   n
发育   vi
的   ude1
某些   rz
心理   n
年龄   n
上会   j
表现   v
出   vf
一些   m
与   cc
社会   n
公认   v
价值观   n
道德观   nz
及   cc
家长   n
和   cc
教师   nnt
的   ude1
期望   vn
不   d
一致   a
的   ude1
行为   n
特点   n
其次   c
是   vshi
好奇心   n
求知欲   n
驱使   v
所致   nz
美国   nsf
教育家   nnt
对   p
有创造力   l
的   ude1
孩子   n
的   ude1
描述   v
是   vshi
顽皮   a
淘气   a
所作所为   n
时常   d
逾   vg
常规   n
中国   ns
民间   n
早   a
有   vyou
小时   n
不逞   v
大   a
了   ule
无用   vi
的   ude1
说法   n
好奇   a
是   vshi
儿童   n
的   ude1
天性   n
儿童   n
故意   d
破坏   v
绿化   vn
可能   v
只是   d
为了   p
看看   v
花蕊   n
里   f
有   vyou
什么   ry
；   w
有的   rz
孩子   n
将   d
钢琴   n
键   n
扭   v
掉   v
是   vshi
为了   p
想   v
看看   v
什么   ry
东西   n
能   v
发出声音   l
来   vf
孩子   n
的   ude1
这些   rz
淘气   a
行为   n
往往   d
蕴育   nz
着   uzhe
可贵   a
的   ude1
探索   v
力   n
创造力   n
和   cc
丰富   a
的   ude1
想象力   n
如果   c
为了   p
求得   v
一时   d
安宁   an
而   cc
不问青红皂白   l
粗暴   a
地   ude2
阻止   v
孩子   n
或许   d
因此   c
而   cc
扼杀   v
了   ule
孩子   n
的   ude1
想象力   n
和   cc
创造力   n
对孩子   nz
的   ude1
这些   rz
行为   n
应   v
积极   ad
引导   v
避免   v
产生   v
消极   a
的   ude1
后果   n
在   p
价值观念   nz
日趋   d
多元化   vn
的   ude1
现代   ntc
社会   n
崇尚   v
个性   n
自由   a
与   cc
自我   rr
价值   n
实现   v
的   ude1
青少年   n
会   v
大胆   ad
地   ude2
向   p
权威   n
和   cc
制度   n
挑战   vn
正是   v
这些   rz
敢于   v
反   vi
传统   n
的   ude1
孩子   n
才   d
是   vshi
未来   t
具有   v
创新   vi
精神   n
推动   v
社会发展   v
的   ude1
栋梁之才   nz
来源   n
河南   ns
教育网   nz
